Date,Open,High,Low,Close,Volume
2020/01/02,29.00,29.12,28.99,29.09,12542
2020/01/03,29.15,29.43,29.04,29.18,15397
2020/01/06,29.18,29.18,28.95,28.96,12665
2020/01/07,28.95,28.96,28.48,28.69,28160
2020/01/08,28.56,28.69,28.30,28.50,18149
2020/01/09,28.56,28.78,28.56,28.70,11167
2020/01/10,28.83,28.85,28.65,28.69,9414
2020/01/13,28.73,28.85,28.70,28.84,9109
2020/01/14,28.91,29.02,28.91,29.02,8837
2020/01/15,29.03,29.09,29.00,29.01,9081
2020/01/16,29.11,29.12,28.95,29.10,11087
2020/01/17,29.13,29.19,29.09,29.16,11756
2020/01/20,29.17,29.22,29.16,29.19,8166
2020/01/30,28.50,28.50,27.50,27.70,124629
2020/01/31,27.71,28.00,27.61,27.92,43237
2020/02/03,27.42,27.75,26.85,27.74,45082
2020/02/04,27.83,28.12,27.71,28.12,15740
2020/02/05,28.24,28.25,28.00,28.08,13923
2020/02/06,28.35,28.44,28.18,28.44,15997
2020/02/07,28.38,28.38,28.20,28.23,12253
2020/02/10,28.00,28.23,27.80,28.14,18718
2020/02/11,28.20,28.34,28.20,28.34,7080
2020/02/12,28.36,28.57,28.36,28.56,12240
2020/02/13,28.60,28.79,28.60,28.64,14951
2020/02/14,28.64,28.82,28.63,28.79,9660
2020/02/17,28.78,28.87,28.60,28.80,14440
2020/02/18,28.77,28.92,28.74,28.80,12272
2020/02/19,28.80,28.99,28.78,28.96,11358
2020/02/20,29.00,29.06,28.87,28.93,8809
2020/02/21,28.91,28.99,28.85,28.90,5864
2020/02/24,28.77,28.77,28.59,28.70,14095
2020/02/25,28.45,28.70,28.36,28.67,11318
2020/02/26,28.50,28.55,28.30,28.30,34883
2020/02/27,28.30,28.39,27.83,27.90,56537
2020/03/02,27.70,27.90,27.20,27.75,48021
2020/03/03,28.15,28.20,27.92,27.93,26980
2020/03/04,27.93,27.93,27.71,27.86,21854
2020/03/05,28.01,28.10,28.00,28.10,13651
2020/03/06,28.01,28.01,27.75,27.88,27963
2020/03/09,27.49,27.52,27.17,27.25,96841
2020/03/10,26.80,27.26,26.76,27.25,70307
2020/03/11,27.34,27.39,26.93,26.97,38280
2020/03/12,26.73,26.73,25.71,25.93,155640
2020/03/13,24.35,25.32,24.02,25.29,157474
2020/03/16,25.10,25.24,24.40,24.41,92824
2020/03/17,23.57,24.29,23.43,23.67,103621
2020/03/18,23.70,23.82,23.26,23.29,80531
2020/03/19,22.88,22.88,21.45,21.85,137456
2020/03/20,22.25,23.55,22.21,23.28,88558
2020/03/23,22.69,22.80,22.20,22.49,53866
2020/03/24,23.10,23.50,23.10,23.38,36967
2020/03/25,24.11,24.35,24.01,24.09,57250
2020/03/26,24.34,24.34,23.81,24.26,33802
2020/03/27,24.73,24.86,24.31,24.35,46777
2020/03/30,23.97,24.32,23.80,24.32,23158
2020/03/31,24.59,24.65,24.38,24.49,20296
2020/04/01,24.49,24.58,24.41,24.52,17899
2020/04/06,24.90,24.92,24.50,24.84,23678
2020/04/07,25.12,25.29,25.12,25.22,31620
2020/04/08,25.22,25.78,25.13,25.77,41028
