Date,Open,High,Low,Close,Volume
2021/01/04,29.65,29.9,29.55,29.9,19762
2021/01/05,29.85,29.9,29.75,29.85,12493
2021/01/06,29.75,29.85,29.4,29.45,26161
2021/01/07,29.45,29.8,29.45,29.75,36871
2021/01/08,29.75,30,29.7,30,39675
2021/01/11,29.95,30.05,29.9,30.05,19292
2021/01/12,29.95,30,29.75,29.75,14288
2021/01/13,29.75,29.9,29.65,29.8,19672
2021/01/14,29.75,29.85,29.55,29.75,20877
2021/01/15,29.6,29.6,29.3,29.3,22617
2021/01/18,29.2,29.25,29,29.15,23086
2021/01/19,29.1,29.15,29.05,29.1,14809
2021/01/20,29.05,29.05,28.6,28.7,38990
2021/01/21,28.7,29,28.7,28.7,19350
2021/01/22,28.7,28.7,28.55,28.6,20702
2021/01/25,28.7,28.95,28.6,28.85,20922
2021/01/26,28.9,28.9,28.6,28.7,19159
2021/01/27,28.8,28.85,28.65,28.7,18561
2021/01/28,28.6,28.7,28.5,28.55,29038
2021/02/01,28.2,28.75,28.15,28.65,14737
2021/02/02,28.7,28.9,28.6,28.7,18384
2021/02/03,28.75,28.85,28.6,28.8,17486
2021/02/04,28.7,28.95,28.65,28.8,13652
2021/02/05,28.85,29,28.7,28.8,20359
2021/02/17,29,29.55,28.95,29.4,48118
2021/02/18,29.4,29.4,29.15,29.25,17434
2021/02/19,29.2,29.2,29,29.15,17889
2021/02/22,29.15,29.3,29.05,29.1,19424
2021/02/23,29.15,29.6,29.1,29.55,23524
2021/02/24,29.6,29.7,29.25,29.3,36962
2021/02/25,29.4,29.7,29.35,29.65,25776
2021/03/02,29.6,29.8,29.55,29.65,24030
2021/03/03,29.7,29.8,29.55,29.75,24125
2021/03/04,29.75,29.75,29.3,29.6,24995
2021/03/05,29.45,29.8,29.35,29.7,21001
2021/03/08,29.75,30,29.7,29.9,34048
2021/03/09,30,30.6,29.95,30.6,56491
2021/03/10,30.6,30.65,30.4,30.6,27346
2021/03/11,30.65,31.1,30.6,30.75,41161
2021/03/12,30.8,30.8,30.45,30.65,15532
2021/03/15,30.7,31.1,30.65,31,24433
2021/03/16,31.1,31.45,31.05,31.35,25094
2021/03/17,31.35,31.45,31.15,31.45,29448
2021/03/18,31.45,31.6,31.4,31.4,25210
2021/03/19,31.2,31.35,31.05,31.05,39810
2021/03/22,30.95,31.35,30.8,31.25,18226
2021/03/23,31.2,31.35,31.05,31.35,15890
2021/03/24,31.25,31.4,31.15,31.4,15928
2021/03/25,31.35,31.6,31.3,31.6,12517
2021/03/26,31.6,31.7,31.45,31.6,16103
2021/03/29,31.6,31.8,31.55,31.8,14684
2021/03/30,31.75,31.85,31.6,31.8,14874
2021/04/01,31.9,32,31.85,31.9,15872
2021/04/06,31.95,32,31.9,32,16080
2021/04/07,32,32,31.9,32,15045
2021/04/08,31.9,31.95,31.75,31.75,11730
2021/04/09,31.7,31.8,31.5,31.55,23769
2021/04/12,31.5,31.8,31.4,31.65,19149
2021/04/13,31.7,31.95,31.7,31.85,25720
2021/04/14,31.85,31.95,31.75,31.9,31930
2021/04/15,31.9,31.95,31.85,31.9,16729
2021/04/16,31.9,32.05,31.85,32.05,26288
2021/04/19,32.05,32.5,32,32.45,38271
2021/04/20,32.45,32.55,32.4,32.55,24094
2021/04/21,32.4,32.45,32.3,32.3,20842
2021/04/22,32.15,32.4,32.1,32.35,25806
2021/04/23,32.35,32.4,32.1,32.25,15019
2021/04/26,32.25,32.6,32.1,32.6,21553
2021/04/27,32.6,32.65,32.4,32.6,14504
2021/04/28,32.5,32.6,32.3,32.6,18103
2021/05/03,32.5,32.7,32.45,32.45,20629
2021/05/04,32.5,32.6,32.1,32.1,25234
2021/05/05,32.1,32.2,31.95,32.05,18383
2021/05/06,32.05,32.45,31.9,32.35,17762
2021/05/07,32.35,32.6,32.3,32.6,15333
2021/05/10,32.65,33,32.6,33,33340
2021/05/11,32.95,33,32.3,32.45,28630
2021/05/12,32.3,32.6,30.05,31.35,65981
