3023 獺ü -- 20170528-99999999																				
																				
るら	秨絃基(じ)	程蔼基(じ)	程基(じ)	Μ絃基(じ)	Θユ秖()	Θユ(じ)	厨筍瞯	秅锣瞯	瑈硄计()	カ(κ窾じ)	程处ボ禦基	程处ボ芥基	厨筍瞯-Ln	カゑ	Θユゑ	Θユ掸计(掸)	セ痲ゑ-TSE	セ痲ゑ-TEJ	基瞓ゑ-TSE	基瞓ゑ-TEJ
2020/7/10	162	166.5	158.5	165	2459 	"402,322"	2.4845	1.0564	"232,777"	"38,408"	165	165.5	2.4541	0.105	0.165	"2,023"	21.29	21.4465	4.82	4.8189
2020/7/9	164	164	160.5	161	1457 	"235,515"	-1.5291	0.6259	"232,777"	"37,477"	161	161.5	-1.5409	0.102	0.1	"1,181"	20.77	20.9266	4.7	4.7021
2020/7/8	161.5	163.5	160	163.5	906 	"147,221"	1.5528	0.3892	"232,777"	"38,059"	163	163.5	1.5409	0.103	0.066	777	21.1	21.2515	4.77	4.7751
2020/7/7	165	165	158.5	161	1490 	"240,738"	-0.9231	0.6401	"232,777"	"37,477"	160.5	161	-0.9274	0.102	0.095	"1,280"	20.77	20.9266	4.7	4.7021
2020/7/6	160	163	158.5	162.5	2051 	"330,203"	2.5237	0.8811	"232,777"	"37,826"	162.5	163	2.4923	0.103	0.144	"1,571"	20.97	21.1215	4.74	4.7459
2020/7/3	160	163	156.5	158.5	3494 	"556,152"	-0.3145	1.501	"232,777"	"36,895"	158.5	159	-0.315	0.102	0.276	"2,624"	20.45	20.6016	4.63	4.6291
2020/7/2	155	160	153.5	159	4137 	"649,758"	4.9505	1.7772	"232,777"	"37,011"	158.5	159	4.8319	0.104	0.371	"2,958"	20.52	20.6666	4.64	4.6437
2020/7/1	150	154.5	150	151.5	1934 	"294,122"	1.6779	0.8308	"232,777"	"35,265"	151.5	152	1.6639	0.099	0.166	"1,398"	19.55	19.6918	4.42	4.4246
2020/6/30	149.5	149.5	147.5	149	851 	"126,299"	0	0.3656	"232,777"	"34,683"	148.5	149	0	0.098	0.069	647	19.23	19.3668	4.35	4.3516
2020/6/29	151	151	147.5	149	1105 	"164,711"	-2.2951	0.4747	"232,777"	"34,683"	148.5	149	-2.3218	0.099	0.085	896	19.23	19.3668	4.35	4.3516
2020/6/24	152	153	150.5	152.5	1342 	"203,687"	0.9934	0.5765	"232,777"	"35,498"	152	152.5	0.9885	0.1	0.106	"1,021"	19.68	19.8217	4.45	4.4538
2020/6/23	147.5	153.5	147.5	151	2045 	"309,211"	2.7211	0.8785	"232,777"	"35,149"	150.5	151	2.6847	0.1	0.164	"1,576"	19.48	19.6268	4.41	4.41
2020/6/22	146.5	148.5	145	147	1410 	"206,812"	0.6849	0.6057	"232,777"	"34,218"	146.5	147	0.6826	0.098	0.121	"1,027"	18.97	19.1069	4.29	4.2932
2020/6/19	149	149.5	146	146	1613 	"237,412"	-2.0134	0.6929	"232,777"	"33,985"	146	147	-2.034	0.097	0.098	"1,241"	18.84	18.9769	4.26	4.264
2020/6/18	149	150	147.5	149	794 	"117,953"	-0.3344	0.3411	"232,777"	"34,683"	148.5	149	-0.335	0.099	0.068	659	19.23	19.3668	4.35	4.3516
2020/6/17	150.5	151	147	149.5	821 	"121,956"	-0.6645	0.3527	"232,777"	"34,800"	149	149.5	-0.6667	0.1	0.075	668	19.29	19.4318	4.36	4.3662
2020/6/16	149	152	148.5	150.5	630 	"94,625"	2.381	0.2706	"232,777"	"35,032"	149.5	150.5	2.353	0.1	0.057	510	19.42	19.5618	4.39	4.3954
2020/6/15	150.5	151.5	147	147	1024 	"152,123"	-2	0.4399	"232,777"	"34,218"	147	147.5	-2.0203	0.1	0.093	776	18.97	19.1069	4.29	4.2932
2020/6/12	146	150	143	150	996 	"146,788"	0.6711	0.4279	"232,777"	"34,916"	149.5	150	0.6689	0.101	0.084	806	19.35	19.4968	4.38	4.3808
2020/6/11	154	154.5	148	149	1953 	"294,111"	-3.2468	0.839	"232,777"	"34,683"	149	149.5	-3.3006	0.099	0.131	"1,372"	15.58	19.3668	3.27	4.3516
2020/6/10	152.5	154	152	154	995 	"152,458"	0.9836	0.4274	"232,777"	"35,847"	153.5	154	0.9788	0.101	0.085	702	19.87	20.0167	4.5	4.4976
