Date,Open,High,Low,Close,Volume
5/1/2015,36.1,36.7,35.9,36.55,1367
6/1/2015,36.4,37.05,36,36.35,1272
7/1/2015,36.5,37,36.2,36.55,1038
8/1/2015,36.8,36.9,35.75,36.3,975
9/1/2015,36.5,36.75,36.15,36.15,767
12/1/2015,36.15,36.6,36,36.25,818
13/1/2015,36.25,36.55,36.2,36.5,792
14/1/2015,37,38.2,36.85,37.9,2740
15/1/2015,38,38.1,37,37.25,845
16/1/2015,37.4,37.5,36.15,36.9,972
19/1/2015,37.2,37.4,36.3,36.7,661
20/1/2015,36.8,37.2,36.65,37.2,972
21/1/2015,37.8,37.9,37.3,37.5,1013
22/1/2015,37.8,37.9,37.15,37.5,747
23/1/2015,37.6,37.6,36.2,36.95,655
26/1/2015,36.95,36.95,35.95,36.45,410
27/1/2015,36.5,36.8,36.2,36.75,504
28/1/2015,36.55,36.6,36.05,36.5,268
29/1/2015,36.5,36.5,36,36.5,302
30/1/2015,36.55,36.95,36.35,36.65,1028
2/2/2015,36.65,36.75,35.8,36.3,478
3/2/2015,36.35,36.4,34.55,34.85,498
4/2/2015,35,35.1,34.15,35.1,500
5/2/2015,35.1,35.1,34.25,34.55,248
6/2/2015,34.6,36,34.45,35.3,1354
9/2/2015,36,36.55,35.8,36.4,1002
10/2/2015,36.5,37.4,36.3,36.95,1521
11/2/2015,37,37.3,36.25,36.9,637
12/2/2015,37.1,37.3,36.65,36.9,998
13/2/2015,37.05,37.2,36.2,36.8,604
24/2/2015,37.2,37.3,36.85,37,676
25/2/2015,37.25,37.3,36.55,37,914
26/2/2015,37.2,37.2,36.55,37.1,716
2/3/2015,37.5,38.15,37.5,38,1149
3/3/2015,38.3,39.05,38,39,1620
4/3/2015,39.2,39.5,38.5,38.55,1441
5/3/2015,38.65,38.8,37.85,38.25,985
6/3/2015,38.35,38.35,37.35,37.45,916
9/3/2015,37.6,38.4,37.6,38.4,724
10/3/2015,38.7,38.9,38.3,38.5,684
11/3/2015,38.2,38.4,37.9,37.95,386
12/3/2015,38.1,38.95,38,38.5,650
13/3/2015,38.7,38.85,38,38.4,536
16/3/2015,38.7,38.85,38.4,38.75,580
17/3/2015,38.9,39,38.2,38.5,387
18/3/2015,38.6,38.7,38.05,38.35,244
19/3/2015,38.6,39.4,38.4,38.9,980
20/3/2015,39.1,39.35,38.35,38.8,705
23/3/2015,39,39,38.4,38.9,445
24/3/2015,39,39.05,38.55,39,320
25/3/2015,39.1,39.1,38.5,39,388
26/3/2015,39,39,38.4,38.65,251
27/3/2015,38.8,39.15,38.55,38.7,532
30/3/2015,38.85,38.95,37.65,38.5,627
31/3/2015,38.65,38.8,38.35,38.45,349
1/4/2015,38.5,38.5,37.5,38.2,272
2/4/2015,38.3,38.4,38,38.3,305
7/4/2015,39,39.1,38.4,39.1,970
8/4/2015,39.5,41.8,39.5,40.5,4743
9/4/2015,40,40.3,37.7,38.55,2121
10/4/2015,38.65,38.8,38.05,38.8,937
13/4/2015,39.1,39.7,38.5,39.7,908
14/4/2015,39.85,39.9,39.2,39.8,585
15/4/2015,40,40.6,39.7,40.4,1199
16/4/2015,40.7,42.3,40.5,41.25,3283
17/4/2015,41.5,41.85,41,41.6,1472
20/4/2015,41.7,41.7,39.65,40.9,1291
21/4/2015,41.15,41.55,38.05,38.05,2676
22/4/2015,36.5,37.85,35.6,37.45,1287
23/4/2015,37.65,38.25,36.5,38.25,817
24/4/2015,38.5,38.8,37.7,38.8,926
27/4/2015,39,39.1,38.6,39.1,459
28/4/2015,39.25,39.7,38.95,39.5,1026
