Date,open,high,low,close,volume
2020/01/02,87.2,89.5,87.2,88.9,5547
2020/01/03,89.5,90.3,88.3,89.2,4695
2020/01/06,88.6,89.2,87.8,88.8,2459
2020/01/07,89.1,89.5,87.6,88.3,2448
2020/01/08,87.6,88.5,87.3,87.5,2937
2020/01/09,88,89,88,88.7,2440
2020/01/10,89.2,91.8,89.2,90.1,8116
2020/01/13,91.2,91.4,90.1,90.8,3153
2020/01/14,91.4,92,90.5,92,4976
2020/01/15,92.1,93.2,91.7,92.3,4855
2020/01/16,92.5,94.5,92.5,93.6,6393
2020/01/17,93.3,95,92.4,94.1,7171
2020/01/20,94.3,95.5,93.1,93.8,4729
2020/01/30,92,92.5,89.7,90.5,9140
2020/01/31,91.6,94.7,91.5,92.8,7878
2020/02/03,91.6,92.7,90,92.3,5203
2020/02/04,91.9,93.1,90.9,92,4305
2020/02/05,92.5,94.3,91.2,92,7235
2020/02/06,93,95.6,92.9,95.6,6956
2020/02/07,95.6,95.6,93.5,93.5,6378
2020/02/10,92.7,94.4,92.5,93.6,3034
2020/02/11,94.4,94.8,93.3,94.5,2466
2020/02/12,97,97.2,94.1,94.2,5318
2020/02/13,94.5,96.8,94.3,96.4,6386
2020/02/14,96.2,96.8,94.9,95.8,3424
2020/02/17,95.1,95.9,94.3,95.3,2295
2020/02/18,96,96.4,94.8,94.9,2307
2020/02/19,95.3,96.4,95.1,95.8,2652
2020/02/20,97,99.6,95.8,95.8,8551
2020/02/21,95.8,96.1,94.4,95.4,3018
2020/02/24,94.3,95.3,91.6,92.5,3390
2020/02/25,91,93.5,90.4,92.7,2152
2020/02/26,91,93.3,91,92.6,2282
2020/02/27,92.2,93,90.8,90.8,3590
2020/03/02,88.3,90.9,88.3,90.5,4610
2020/03/03,91,91.4,89.8,90,4545
2020/03/04,89.8,91.3,89.8,90.2,2387
2020/03/05,90.8,92.2,90.6,91.7,2783
2020/03/06,91.6,91.6,89.2,89.2,3310
2020/03/09,87.2,87.8,86,86,4608
2020/03/10,85,86.5,84.3,85.9,4089
2020/03/11,85.9,87.7,85.1,86.3,3778
2020/03/12,85.1,85.6,82.1,82.1,4572
2020/03/13,76.2,81.6,75.6,79.6,5863
2020/03/16,80,80.2,76.7,76.7,3843
2020/03/17,76,78.5,75.6,77.5,5175
2020/03/18,77.4,78,73.2,73.2,4889
2020/03/19,70.2,72.5,68.5,72,7556
2020/03/20,72.1,78,72.1,78,5740
2020/03/23,74.2,74.6,72.6,72.6,2972
2020/03/24,73.9,78.2,73.9,76.8,3309
2020/03/25,78.7,81.2,77.8,81,5462
2020/03/26,82.4,84.5,80.8,83.7,5438
2020/03/27,87,88,83.2,84.1,4382
2020/03/30,83,85.8,81.7,84.2,3942
2020/03/31,86.1,89.7,85.1,88.7,6269
2020/04/01,90.4,91.5,88.4,89.4,8322
2020/04/06,89.9,90.9,89.1,90,2943
2020/04/07,91,91.3,88.7,89,4288
2020/04/08,88.6,90.2,87.1,87.8,3871
2020/04/09,88.6,88.6,87.1,87.7,2337
2020/04/10,87.5,88.5,86.9,87.8,1744
2020/04/13,87.9,88.3,87.1,87.4,918
2020/04/14,88.3,90.2,88.1,89.7,2249
2020/04/15,90,92.4,89.5,92.4,5372
2020/04/16,91.5,92.4,90.8,91.7,3753
2020/04/17,94.1,96.2,92.3,93,7511
2020/04/20,93.2,94,92,92.1,3186
2020/04/21,91.4,92.5,89.5,90.3,3888
2020/04/22,89,90.5,89,90.5,1875
2020/04/23,91.2,93,91,92.7,3192
2020/04/24,92.8,93.4,91.6,92,2117
2020/04/27,93,93.4,92.1,92.3,1748
2020/04/28,93,93.3,91.9,92.7,1891
2020/04/29,92.8,93.2,92.1,92.2,1741
2020/04/30,92.9,93.2,92.2,93,2644
2020/05/04,90.1,91.5,90.1,90.5,2852
2020/05/05,90.9,91.6,90,90,2069
2020/05/06,90.5,90.8,89,89.5,2119
2020/05/07,90,92,89.8,91.9,1984
2020/05/08,92.5,92.5,90.1,90.8,2546
2020/05/11,91.7,94.2,90.8,93.7,5332
2020/05/12,94.3,98.5,94.2,98.4,18016
2020/05/13,99.1,103,98.9,102,19907
2020/05/14,103.5,105,99.2,102.5,15031
2020/05/15,105,107,100.5,103.5,10868
2020/05/18,104,104.5,100,101.5,5298
2020/05/19,105,107,102.5,106,8218
2020/05/20,108,108.5,105,106.5,7190
2020/05/21,109,110,104,106,6671
2020/05/22,105,105,101.5,102.5,6626
2020/05/25,104,104,99.6,103.5,6626
2020/05/26,104.5,105,103,105,4294
2020/05/27,106,108,100,100.5,9213
2020/05/28,101.5,102.5,100.5,102.5,5886
2020/05/29,101,102,100,101,5180
2020/06/01,101.5,103.5,101,103.5,3199
2020/06/02,103.5,105.5,102.5,104,3255
2020/06/03,105,106,102.5,106,6994
2020/06/04,108,110,107,108,7538
2020/06/05,110,114,110,111.5,11390
2020/06/08,112,112,105,106,10010
2020/06/09,107,107.5,104.5,107.5,4183
2020/06/10,104.5,106,104,105.5,4822
2020/06/11,106.5,107,102,102.5,4654
2020/06/12,99.7,103.5,99.2,103.5,3931
2020/06/15,104,104.5,101,101.5,3376
2020/06/16,103,103.5,101.5,103.5,2974
2020/06/17,103.5,104.5,100.5,103,5188
2020/06/18,103,104.5,101.5,104.5,4416
2020/06/19,105,105.5,102.5,102.5,6240
2020/06/22,102,105.5,101.5,105,4339
2020/06/23,107,107,104.5,106,4420
2020/06/24,107,107.5,105.5,106.5,4614
2020/06/29,106,108,103.5,106.5,3758
2020/06/30,107,107.5,105,107.5,3069
2020/07/01,108,113,108,112,7897
2020/07/02,112,113.5,109,113,6052
2020/07/03,117,123,114,115.5,11151
2020/07/06,118,119.5,117,119.5,5546
2020/07/07,121,121,116.5,118,7533
2020/07/08,117,119,113.5,116,9480
2020/07/09,117,120,114,120,8287
2020/07/10,121,122,116,118,7256
2020/07/13,121,125.5,119.5,120.5,9219
2020/07/14,121.5,129,121,126,17398
2020/07/15,128.5,129.5,124,126,8243
2020/07/16,129.5,132.5,128,131,12141
2020/07/17,132,134,129,130,12446
2020/07/20,131,132,127,130,4913
2020/07/21,132.5,135.5,131,132.5,8950
2020/07/22,133,135.5,131.5,135.5,5881
2020/07/23,137,140,135.5,137,6881
2020/07/24,138.5,139.5,132.5,134.5,8919
2020/07/27,136,136.5,129,130,10898
2020/07/28,131,132.5,125.5,128.5,12023
2020/07/29,129,130,126.5,129.5,6893
2020/07/30,131,132.5,129,132.5,6468
2020/07/31,132,132,129.5,130.5,5413
2020/08/03,130,132.5,129,131,4690
2020/08/04,132,134.5,131,134.5,4804
2020/08/05,136,138,133.5,137.5,7116
2020/08/06,139.5,141,135,136.5,8718
2020/08/07,138,138.5,136.5,138,5142
2020/08/10,138,139,132,133,7180
2020/08/11,134,137,131,137,5535
2020/08/12,136,136.5,133,136,4317
2020/08/13,136,144.5,136,142,11232
2020/08/14,140.5,146,139,144,6728
2020/08/17,147.5,151.5,145,148.5,12147
2020/08/18,149.5,153,147,149,8487
2020/08/19,153,158,144.5,145.5,10280
2020/08/20,146,148.5,138.5,141,10571
2020/08/21,145.5,149,144,149,11668
2020/08/24,148.5,148.5,140,141,9256
2020/08/25,143,145.5,141.5,145.5,5529
2020/08/26,145.5,146.5,141.5,143,4477
2020/08/27,143.5,144.5,139,140.5,5697
2020/08/28,141.5,142.5,136.5,138,5420
2020/08/31,139.5,140,128.5,135.5,15080
2020/09/01,138.5,139.5,132,135,12766
2020/09/02,137,145,137,138.5,22751
2020/09/03,143,152,142,150.5,31221
2020/09/04,147.5,147.5,142.5,144.5,21431
2020/09/07,144.5,144.5,135,136,11306
2020/09/08,137,138,133.5,134.5,8116
2020/09/09,135,135.5,130,135,6776
2020/09/10,137,137.5,132.5,135,6026
2020/09/11,134,136,132,136,4125
2020/09/14,136.5,138,135.5,137.5,4564
2020/09/15,137,139.5,137,137,4268
2020/09/16,138.5,141.5,137,139,7126
2020/09/17,139,141,138,138.5,4114
2020/09/18,139,142,137,140.5,15115
2020/09/21,140.5,141.5,136.5,137,3505
2020/09/22,136.5,137.5,134.5,135,3638
2020/09/23,135.5,136.5,132,135.5,4156
2020/09/24,133,133,126.5,127,9286
2020/09/25,130,132,126,128,6131
2020/09/28,129.5,133,128,132.5,4406
