Date,Open,High,Low,Close,Volume
2010/12/20,    61.0000,64.9,59.0,63.1,4450
2010/12/21,    63.2000,65.0,61.6,61.9,2075
2010/12/22,    61.9000,61.9,59.0,60.0,1686
2010/12/23,    60.0000,62.0,59.2,60.4,1112
2010/12/24,    60.6000,62.0,60.1,60.1,739
2010/12/27,    60.1000,60.7,59.3,59.4,547
2010/12/28,    60.0000,62.3,59.5,60.7,1302
2010/12/29,    61.3000,61.3,59.9,59.9,787
2010/12/30,    60.0000,61.0,59.9,60.0,365
2010/12/31,    60.2000,60.7,59.3,59.3,728
2011/01/03,    59.5000,60.5,59.2,59.2,522
2011/01/04,    59.5000,61.5,59.5,60.7,835
2011/01/05,    61.0000,64.0,60.7,63.3,2194
2011/01/06,    63.0000,67.5,62.7,66.0,3237
2011/01/07,    66.5000,68.0,63.2,65.6,1764
2011/01/10,    66.4000,66.4,64.0,64.7,754
2011/01/11,    62.5000,64.6,62.5,64.6,1081
2011/01/12,    64.6000,64.6,63.1,63.7,1001
2011/01/13,    63.8000,63.9,62.4,62.7,980
2011/01/14,    63.0000,64.7,63.0,64.7,1204
2011/01/17,    65.5000,65.5,63.1,63.7,772
2011/01/18,    63.3000,65.6,63.0,63.7,836
2011/01/19,    64.1000,64.5,63.3,63.3,548
2011/01/20,    63.3000,64.9,63.3,63.9,669
2011/01/21,    64.9000,65.1,64.0,64.9,807
2011/01/24,    65.5000,68.2,65.1,67.0,1740
2011/01/25,    67.2000,70.0,66.2,69.6,1907
2011/01/26,    69.6000,70.5,68.3,68.3,1538
2011/01/27,    68.2000,70.5,67.5,70.5,2005
2011/01/28,    70.8000,74.0,69.4,73.9,1978
2011/02/08,    73.5000,73.5,71.1,71.2,861
2011/02/09,    71.2000,72.9,68.2,68.7,1176
2011/02/10,    68.5000,69.4,67.8,68.1,845
2011/02/11,    68.9000,68.9,66.3,66.5,596
2011/02/14,    67.0000,67.5,66.1,67.4,393
2011/02/15,    67.5000,70.0,66.7,68.8,607
2011/02/16,    69.7000,69.7,68.3,68.5,536
2011/02/17,    68.6000,71.0,68.6,69.5,1268
2011/02/18,    70.5000,70.5,69.4,70.0,445
2011/02/21,    71.5000,72.2,70.9,72.0,938
2011/02/22,    71.2000,72.2,69.6,70.0,871
2011/02/23,    69.6000,70.5,68.0,68.1,532
2011/02/24,    67.8000,68.6,66.5,66.6,775
2011/02/25,    67.0000,67.6,66.1,67.5,416
2011/03/01,    68.4000,68.4,67.2,67.2,256
2011/03/02,    67.8000,67.8,65.2,65.3,682
2011/03/03,    65.4000,67.0,65.4,66.5,461
2011/03/04,    66.5000,67.0,64.3,65.2,541
2011/03/07,    65.2000,66.4,64.7,66.3,440
2011/03/08,    66.5000,70.9,66.5,70.9,1844
2011/03/09,    71.8000,71.9,68.7,68.7,848
2011/03/10,    69.0000,70.3,67.5,69.0,676
2011/03/11,    68.0000,69.7,67.6,69.1,412
2011/03/14,    69.0000,69.0,65.4,68.0,533
2011/03/15,    68.3000,68.5,64.3,65.0,523
2011/03/16,    65.6000,67.0,64.0,66.1,461
2011/03/17,    65.6000,69.4,64.7,68.2,912
2011/03/18,    68.1000,68.7,67.4,67.8,270
2011/03/21,    67.0000,68.3,66.7,66.9,189
2011/03/22,    67.3000,67.8,67.0,67.1,159
2011/03/23,    67.2000,67.9,66.9,67.8,187
2011/03/24,    67.8000,67.8,67.0,67.1,288
2011/03/25,    67.6000,69.0,66.3,68.0,446
2011/03/28,    68.0000,68.0,66.7,66.7,199
2011/03/29,    66.7000,67.1,66.1,66.1,251
2011/03/30,    66.1000,67.2,66.0,67.0,204
2011/03/31,    67.0000,67.2,66.6,66.6,119
2011/04/01,    66.6000,67.0,66.2,66.5,110
2011/04/06,    66.8000,67.0,66.5,66.7,182
2011/04/07,    66.8000,67.0,66.2,66.8,189
2011/04/08,    66.6000,67.5,66.5,67.5,271
2011/04/11,    67.4000,67.7,66.5,66.6,137
2011/04/12,    66.6000,66.6,65.0,65.5,260
2011/04/13,    65.6000,65.7,64.6,65.0,343
2011/04/14,    65.6000,66.5,65.2,66.3,284
2011/04/15,    66.3000,66.4,65.2,65.3,183
2011/04/18,    65.3000,66.5,65.2,65.6,216
2011/04/19,    65.8000,67.0,64.7,66.2,400
2011/04/20,    66.2000,70.0,65.9,68.7,1167
2011/04/21,    73.3000,73.3,70.2,70.9,2179
2011/04/22,    70.2000,73.5,70.2,73.1,2325
2011/04/25,    75.0000,78.2,74.0,77.5,3282
2011/04/26,    77.3000,79.8,76.2,79.3,2826
2011/04/27,    79.0000,79.2,77.5,78.0,1645
2011/04/28,    78.5000,79.0,76.7,77.3,850
2011/04/29,    77.1000,82.7,76.7,82.6,3647
2011/05/03,    82.2000,86.0,79.6,84.6,2168
2011/05/04,    84.2000,85.0,82.7,84.6,1390
2011/05/05,    83.6000,84.6,81.3,82.0,1522
2011/05/06,    80.3000,84.0,80.3,84.0,1220
2011/05/09,    84.9000,84.9,82.4,82.4,613
2011/05/10,    82.9000,83.6,82.4,82.4,669
2011/05/11,    83.4000,87.5,83.0,85.9,1772
2011/05/12,    84.6000,85.4,83.3,83.9,558
2011/05/13,    83.8000,84.6,79.6,80.6,1178
2011/05/16,    80.6000,81.0,78.0,78.1,902
2011/05/17,    78.1000,80.3,77.0,79.8,532
2011/05/18,    80.0000,81.8,79.6,80.5,466
2011/05/19,    81.9000,86.1,81.5,85.0,2267
2011/05/20,    84.7000,87.1,83.5,85.0,1133
2011/05/23,    83.2000,86.0,83.2,84.5,481
2011/05/24,    84.3000,84.3,80.0,81.7,657
2011/05/25,    80.0000,82.3,80.0,81.0,192
2011/05/26,    80.7000,81.7,80.7,81.1,213
2011/05/27,    81.5000,81.6,78.5,80.4,631
2011/05/30,    79.0000,80.7,78.7,80.7,491
2011/05/31,    79.9000,81.4,79.8,81.0,309
2011/06/01,    81.0000,81.5,80.2,81.3,589
2011/06/02,    80.1000,81.0,79.5,79.5,417
2011/06/03,    80.0000,80.0,77.0,78.5,670
2011/06/07,    77.5000,78.1,75.1,76.0,626
2011/06/08,    76.0000,78.5,75.4,77.5,506
2011/06/09,    77.5000,79.4,77.5,77.9,719
2011/06/10,    79.2000,79.2,76.7,76.7,369
2011/06/13,    76.1000,76.5,75.2,75.3,233
2011/06/14,    76.0000,76.0,75.0,75.5,275
2011/06/15,    75.5000,76.0,74.7,75.5,357
2011/06/16,    75.0000,75.0,71.0,71.9,571
2011/06/17,    72.0000,73.2,71.8,72.2,363
2011/06/20,    72.5000,73.8,70.6,71.2,276
2011/06/21,    71.8000,72.5,70.5,70.9,207
2011/06/22,    72.0000,75.5,71.9,74.0,460
2011/06/23,    72.1000,75.0,72.1,74.2,414
2011/06/24,    74.2000,75.5,73.4,75.3,273
2011/06/27,    74.3000,78.0,73.3,77.3,543
2011/06/28,    78.3000,80.1,77.5,78.9,1109
2011/06/29,    80.3000,81.7,79.7,80.6,883
2011/06/30,    81.0000,81.0,79.2,80.0,356
2011/07/01,    80.0000,82.5,79.1,81.0,796
2011/07/04,    81.5000,83.8,81.3,82.9,927
2011/07/05,    82.9000,82.9,80.9,82.0,363
2011/07/06,    83.2000,84.5,81.7,83.0,996
2011/07/07,    84.0000,84.0,81.1,81.1,440
2011/07/08,    81.5000,83.2,80.3,80.5,908
2011/07/11,    79.1000,80.0,78.4,79.5,681
2011/07/12,    79.5000,79.5,78.0,78.6,398
2011/07/13,    78.6000,80.2,78.5,79.0,295
2011/07/14,    78.5000,79.3,76.2,78.4,285
2011/07/15,    77.1000,81.3,77.1,80.5,632
2011/07/18,    80.5000,85.3,80.5,84.0,1454
2011/07/19,    84.0000,84.0,82.1,82.8,569
2011/07/20,    83.0000,83.5,81.2,82.1,650
2011/07/21,    81.9000,83.4,81.0,82.1,589
2011/07/22,    82.0000,82.0,80.4,80.8,600
2011/07/25,    80.8000,81.0,79.1,79.7,493
2011/07/26,    79.7000,80.4,78.5,80.2,497
2011/07/27,    80.0000,80.5,79.3,79.3,566
2011/07/28,    79.0000,79.5,77.5,77.9,581
2011/07/29,    77.8000,79.8,77.8,78.9,501
2011/08/01,    79.4000,82.2,78.2,80.8,1493
2011/08/02,    80.6000,82.5,80.2,80.8,750
2011/08/03,    80.0000,80.0,76.5,78.9,873
