年月日,開盤價(元),收盤價(元),成交量(千股)
2017/01/03,71.7,71.9,2331 
2017/01/04,72,71.85,4284 
2017/01/05,71.85,72.5,4573 
2017/01/06,72.45,72.65,3752 
2017/01/09,72.75,72.45,5038 
2017/01/10,72.45,72.4,1857 
2017/01/11,72.8,72.4,1898 
2017/01/12,72.6,73.15,4857 
2017/01/13,72.8,72.6,3909 
2017/01/16,72.4,72,2418 
2017/01/17,72,72.3,1572 
2017/01/18,72.2,72.15,3837 
2017/01/19,71.85,71.95,4065 
2017/01/20,71.95,72.15,2422 
2017/01/23,72.55,72.75,5965 
2017/01/24,73,73.3,4575 
2017/02/02,73.5,72.9,6999 
2017/02/03,72.95,72.85,2809 
2017/02/06,73,73.25,2947 
2017/02/07,73.1,73.3,4305 
2017/02/08,71.9,71.75,4433 
2017/02/09,71.75,72,3548 
2017/02/10,72.1,72.8,4869 
2017/02/13,72.8,72.95,3330 
2017/02/14,73.4,73.2,6071 
2017/02/15,73.3,73.9,9407 
2017/02/16,74,73.45,5466 
2017/02/17,73.65,73.35,5192 
2017/02/18,73.3,73.5,3227 
2017/02/20,73.55,73.1,2802 
2017/02/21,73.2,73.25,3337 
2017/02/22,73.6,73.3,2938 
2017/02/23,73.25,73.1,2332 
2017/02/24,73.05,73.15,1844 
2017/03/01,73.1,72.35,3107 
2017/03/02,72.95,72.55,7057 
2017/03/03,72.3,72.1,4410 
2017/03/06,72.05,72.15,2177 
2017/03/07,72.25,72.45,2027 
2017/03/08,72.65,72.85,2182 
2017/03/09,72.6,72.05,3381 
2017/03/10,71.95,72,5423 
2017/03/13,72.15,72.5,2515 
2017/03/14,72.6,73,3948 
2017/03/15,72.8,72.85,3490 
2017/03/16,73.3,73.8,7545 
2017/03/17,73.85,74,5265 
2017/03/20,73.95,73.95,5073 
2017/03/21,74.3,74.9,8511 
2017/03/22,74.25,74.2,4939 
2017/03/23,74.6,74.35,4105 
2017/03/24,74.35,74.25,3308 
2017/03/27,74,74.2,2474 
2017/03/28,74.55,74.25,5565 
2017/03/29,74.45,74,2464 
2017/03/30,74,73.9,2181 
2017/03/31,73.95,73.7,2008 
2017/04/05,73.95,74.65,3594 
2017/04/06,74.8,74.4,2811 
2017/04/07,74.3,74.1,1889 
2017/04/10,74.1,74.2,1060 
2017/04/11,74.1,73.9,1266 
2017/04/12,73.9,74.05,1940 
2017/04/13,73.9,74.4,6004 
2017/04/14,73.9,73.55,2674 
2017/04/17,73.55,73.6,5339 
2017/04/18,73.85,73.6,4099 
2017/04/19,73.1,72.8,9185 
2017/04/20,72.55,72.8,3142 
2017/04/21,73.25,73.5,3247 
2017/04/24,73.9,73.65,4309 
2017/04/25,73.85,74.35,5698 
2017/04/26,74.7,74.55,4117 
2017/04/27,74.35,74.5,3685 
2017/04/28,74.5,74.55,4423 
2017/05/02,75,75.2,15728 
2017/05/03,75.3,75.55,4711 
2017/05/04,75.55,75.65,3996 
2017/05/05,75.45,75.15,5287 
2017/05/08,75.55,75.7,4083 
2017/05/09,75.7,75.95,4190 
2017/05/10,76.15,76.25,1763 
2017/05/11,76.1,76.5,2018 
2017/05/12,76.25,76.3,2810 
2017/05/15,76.3,76.5,1285 
2017/05/16,76.5,76.5,1598 
2017/05/17,76.3,76.3,1331 
2017/05/18,75.65,75.9,4271 
2017/05/19,75.65,75.85,1162 
2017/05/22,75.95,76.05,2576 
2017/05/23,76.05,76.35,3844 
2017/05/24,76.35,76.3,2886 
2017/05/25,76.7,77,4681 
2017/05/26,77,76.95,4018 
2017/05/31,76.95,76.5,2701 
2017/06/01,76.5,76.9,2221 
2017/06/02,77.3,77.2,3540 
2017/06/03,77.25,77.4,2052 
2017/06/05,77.35,78,3281 
2017/06/06,77.95,77.95,1203 
2017/06/07,77.9,77.95,1844 
2017/06/08,77.95,78.25,1886 
2017/06/09,78.05,78,3010 
2017/06/12,77.15,77.15,3300 
2017/06/13,77.15,77.25,1615 
2017/06/14,77.4,76.85,3380 
2017/06/15,76.8,76.9,1507 
2017/06/16,76.9,77.7,4233 
2017/06/19,77.7,78.55,5144 
2017/06/20,78.6,79.45,4046 
2017/06/21,79.2,79.55,13612 
2017/06/22,79.6,79.75,6112 
2017/06/23,79.75,79.7,8517 
2017/06/26,79.8,81.4,14254 
2017/06/27,81.4,81.3,3026 
2017/06/28,80.9,80.55,6286 
2017/06/29,81,80.65,1427 
2017/06/30,80.1,80.4,3070 
2017/07/03,80.4,80.45,1551 
2017/07/04,80.45,80,1237 
2017/07/05,80.1,80.75,2274 
2017/07/06,80.75,80.4,2492 
2017/07/07,80.25,79.95,3569 
2017/07/10,80,80.35,3549 
2017/07/11,80.7,81.55,4138 
2017/07/12,81.5,81.55,3948 
2017/07/13,81.95,82.2,3992 
2017/07/14,82,82.05,2281 
2017/07/17,82.5,82.2,2687 
2017/07/18,82.2,82.4,3277 
2017/07/19,82.35,82.7,7267 
2017/07/20,82.85,82.65,2020 
2017/07/21,82.6,82.1,4465 
2017/07/24,81.95,82.3,2364 
2017/07/25,82.3,82.45,2126 
2017/07/26,82.55,82.15,2357 
2017/07/27,82.2,83,2213 
2017/07/28,82.4,82.1,4401 
2017/07/31,81.45,81.35,2806 
2017/08/01,82.15,81.8,2642 
2017/08/02,82,82.5,5045 
2017/08/03,81.85,82.2,4029 
2017/08/04,82.15,82.35,1143 
2017/08/07,82.45,82.95,4108 
2017/08/08,83.05,82.9,2985 
2017/08/09,82.55,82.15,3122 
2017/08/10,82.35,81.6,3168 
2017/08/11,80.85,81.25,2747 
