Date,Open,High,Low,Close,Volume
2019/1/2,25.7,25.7,25.3,25.45,12983 
2019/1/3,25.3,25.5,25.2,25.45,12343 
2019/1/4,25.25,25.4,25.2,25.25,13372 
2019/1/7,25.55,25.6,25.45,25.6,14028 
2019/1/8,25.65,25.65,25.45,25.5,16050 
2019/1/9,25.65,25.85,25.55,25.85,22330 
2019/1/10,25.85,26.1,25.8,26.1,18405 
2019/1/11,26.15,26.15,25.95,26,12565 
2019/1/14,26,26.1,25.8,26.05,7539 
2019/1/15,26.1,26.2,25.95,26.2,15927 
2019/1/16,26.15,26.15,26,26,9122 
2019/1/17,26,26.1,25.95,26.1,8224 
2019/1/18,26.1,26.25,26,26.1,11746 
2019/1/21,26.25,26.3,26.2,26.25,16939 
2019/1/22,26.25,26.45,26.15,26.45,12816 
2019/1/23,26.25,26.6,26.25,26.6,13194 
2019/1/24,26.55,26.6,26.35,26.6,24152 
2019/1/25,26.35,26.55,26.35,26.5,20242 
2019/1/28,26.5,26.55,26.35,26.5,22528 
2019/1/29,26.45,26.7,26.35,26.7,27272 
2019/1/30,26.7,26.85,26.6,26.6,27012 
2019/2/11,26.95,26.95,26.4,26.4,29968 
2019/2/12,26.45,26.75,26.4,26.55,24445 
2019/2/13,26.55,26.7,26.5,26.55,17293 
2019/2/14,26.5,26.65,26.5,26.5,17237 
2019/2/15,26.5,26.65,26.4,26.4,18133 
2019/2/18,26.55,26.75,26.55,26.7,12928 
2019/2/19,26.7,26.85,26.65,26.8,11023 
2019/2/20,26.85,26.95,26.8,26.95,22511 
2019/2/21,26.9,27,26.85,27,13929 
2019/2/22,26.95,27,26.85,26.95,17421 
2019/2/25,27,27.1,26.95,27.1,19823 
2019/2/26,27.1,27.1,26.95,27,25225 
2019/2/27,27.1,27.25,27.05,27.25,20018 
2019/3/4,27,27.25,26.9,27,34392 
2019/3/5,27,27.1,26.85,26.95,24575 
2019/3/6,27.1,27.1,26.95,27.1,18476 
2019/3/7,27.05,27.15,27,27.1,12258 
2019/3/8,27,27.1,27,27,9551 
2019/3/11,27.15,27.4,27.05,27.25,12693 
2019/3/12,27.35,27.5,27.25,27.3,13972 
2019/3/13,27.3,27.45,27.25,27.45,8065 
2019/3/14,27.35,27.45,27.15,27.3,11817 
2019/3/15,27.3,27.45,27.3,27.45,13425 
2019/3/18,27.5,27.85,27.45,27.85,20850 
2019/3/19,27.9,28.1,27.9,28,22486 
2019/3/20,28,28,27.8,28,17027 
2019/3/21,28,28.1,27.85,28.1,13711 
2019/3/22,28.1,28.2,28,28,11591 
2019/3/25,27.8,27.9,27.7,27.75,18348 
2019/3/26,27.75,28.05,27.75,28,5922 
2019/3/27,28,28.1,27.9,27.95,11915 
2019/3/28,27.95,28.05,27.9,27.95,16151 
2019/3/29,27.95,28.05,27.85,28.05,19645 
2019/4/1,28.05,28.1,27.9,27.9,11489 
2019/4/2,27.9,28,27.85,27.85,10759 
2019/4/3,28,28.1,27.95,28,16272 
2019/4/8,28.1,28.15,28,28.05,17090 
2019/4/9,28.05,28.2,28.05,28.2,18483 
2019/4/10,28.1,28.25,28.05,28.15,21650 
2019/4/11,28.1,28.25,28.1,28.25,6781 
2019/4/12,28.2,28.3,28.15,28.3,11098 
2019/4/15,28.25,28.3,28.2,28.2,13821 
2019/4/16,28.2,28.25,28.05,28.1,13269 
2019/4/17,28.15,28.2,28.05,28.1,12319 
2019/4/18,28.1,28.2,28.05,28.2,16869 
2019/4/19,28.15,28.15,28.05,28.15,6609 
2019/4/22,28.15,28.15,28,28,11481 
2019/4/23,28,28.2,27.95,28.2,12433 
2019/4/24,28.55,28.75,28.5,28.65,28146 
2019/4/25,28.65,28.8,28.6,28.75,14272 
2019/4/26,28.75,28.95,28.7,28.95,15343 
2019/4/29,28.95,29.35,28.95,29.35,20301 
2019/4/30,29.35,29.65,29.3,29.65,25979 
2019/5/2,29.6,30.2,29.55,30.1,39432 
2019/5/3,30.1,30.2,30,30.05,24483 
2019/5/6,30,30.05,29.8,30.05,21508 
2019/5/7,30.05,30.75,30.05,30.5,22437 
2019/5/8,30.1,30.5,30.1,30.5,20127 
2019/5/9,30.1,30.25,29.85,29.9,28544 
2019/5/10,29.85,30.05,29.55,29.6,27061 
2019/5/13,29.6,29.6,29.25,29.5,18642 
2019/5/14,29.4,29.85,29.35,29.5,32587 
2019/5/15,29.55,29.85,29.5,29.7,22038 
2019/5/16,29.7,29.75,29.55,29.55,25424 
2019/5/17,29.9,30.25,29.8,30,30165 
2019/5/20,30.35,30.4,30.2,30.4,22896 
2019/5/21,30.6,30.75,30.4,30.65,26908 
2019/5/22,30.5,30.6,30.3,30.45,12161 
2019/5/23,30.45,30.55,30,30.55,24831 
2019/5/24,30.4,30.65,30.35,30.5,10899 
2019/5/27,30.55,30.6,30.4,30.5,9173 
2019/5/28,30.5,30.55,30.15,30.25,37524 
2019/5/29,30.2,30.55,30.1,30.55,13547 
2019/5/30,30.4,30.7,30.35,30.7,21030 
2019/5/31,30.55,31,30.5,31,28330 
2019/6/3,30.8,31,30.75,31,21090 
2019/6/4,31,31.05,30.8,30.9,20477 
2019/6/5,31,31.1,30.85,30.9,19997 
2019/6/6,30.9,31.7,30.85,31.7,29475 
2019/6/10,31.7,32.05,31.6,31.95,21804 
2019/6/11,31.95,31.95,31.3,31.3,26405 
2019/6/12,31.1,31.1,30.15,30.7,54441 
2019/6/13,30.6,30.9,30.2,30.6,32258 
2019/6/14,30.4,30.65,30.4,30.65,25259 
2019/6/17,30.7,30.85,30.65,30.7,22600 
2019/6/18,30.7,30.8,30.5,30.8,25880 
2019/6/19,30.85,31.3,30.8,31.25,34828 
2019/6/20,31.45,31.5,31.25,31.5,35274 
2019/6/21,31.3,31.35,30.8,30.8,53582 
2019/6/24,30.9,31,30.8,30.85,26082 
2019/6/25,30.9,31.05,30.9,30.95,23025 
2019/6/26,31,31.1,30.95,31.05,18431 
2019/6/27,30.95,31.1,30.8,30.85,33862 
2019/6/28,31,31.15,30.8,30.9,28461 
2019/7/1,30.9,31.1,30.85,30.9,22960 
2019/7/2,30.95,31.25,30.95,31.05,23726 
2019/7/3,31,31.15,30.95,31.15,17994 
2019/7/4,31.15,31.25,31.1,31.2,11478 
2019/7/5,31.2,31.4,31.2,31.4,9355 
2019/7/8,31.35,31.4,31.25,31.4,13850 
2019/7/9,31.4,31.6,31.35,31.6,15815 
2019/7/10,31.6,31.7,31.6,31.6,14458 
2019/7/11,31.6,31.95,31.6,31.85,15503 
2019/7/12,31.9,32,31.85,31.85,11435 
2019/7/15,31.95,32,31.55,31.7,24725 
2019/7/16,31.8,31.95,31.75,31.95,12716 
2019/7/17,31.8,31.95,31.55,31.9,19985 
2019/7/18,31.85,31.9,31.55,31.85,13703 
2019/7/19,31.9,31.95,31.8,31.85,11966 
2019/7/22,31.9,32.05,31.9,31.9,14332 
2019/7/23,32,32.15,32,32.1,11788 
2019/7/24,32.05,32.2,32.05,32.2,11273 
2019/7/25,32.2,32.5,32.2,32.25,13271 
2019/7/26,32.3,32.4,32.15,32.3,10963 
2019/7/29,32.3,32.3,32.1,32.1,16515 
2019/7/30,32.1,32.25,32,32.1,16365 
2019/7/31,32.2,32.2,31.75,32.1,41551 
2019/8/1,31.65,31.95,31.65,31.65,25003 
2019/8/2,31.3,31.35,31.1,31.35,34278 
2019/8/5,31.35,31.4,31.15,31.25,19572 
2019/8/6,31.1,31.45,30.85,31.25,26381 
2019/8/7,31.6,31.6,31.05,31.05,30423 
2019/8/8,30.9,31.25,30.9,31.1,30459 
2019/8/12,29.3,29.3,28.85,29,67361 
2019/8/13,29,29.05,28.4,28.5,43327 
2019/8/14,28.5,28.65,28.2,28.2,32465 
2019/8/15,27.9,28,27.8,27.9,29632 
2019/8/16,28,28.4,27.75,28.25,28533 
2019/8/19,28.3,28.45,28.3,28.3,18039 
2019/8/20,28.3,28.55,28.3,28.5,18163 
2019/8/21,28.5,28.55,28.15,28.15,21105 
2019/8/22,28.25,28.4,28.15,28.25,12416 
2019/8/23,28.25,28.4,28.25,28.35,11432 
2019/8/26,28,28.15,27.9,27.95,21019 
2019/8/27,28,28.1,27.85,28,28371 
2019/8/28,28,28.25,28,28.05,11636 
2019/8/29,28.05,28.1,28,28,10952 
2019/8/30,28.2,28.75,28.1,28.75,19698 
2019/9/2,28.65,28.65,28.25,28.45,16759 
2019/9/3,28.45,28.45,28.3,28.35,9049 
2019/9/4,28.35,28.5,28.35,28.45,13921 
2019/9/5,28.5,28.6,28.45,28.55,15980 
2019/9/6,28.65,28.85,28.6,28.8,10689 
2019/9/9,29,29.2,28.95,29.2,16581 
2019/9/10,29.45,29.6,29.3,29.55,26480 
2019/9/11,29.6,29.6,29.1,29.5,16224 
2019/9/12,29.6,29.6,29.3,29.3,11706 
2019/9/16,29.5,29.5,29.15,29.2,15372 
2019/9/17,29.2,29.25,29.1,29.2,11008 
2019/9/18,29.2,29.55,29.15,29.55,13655 
2019/9/19,29.5,29.55,29.3,29.45,14002 
2019/9/20,29.5,29.5,29.15,29.3,33388 
2019/9/23,29.25,29.25,29.15,29.2,15816 
2019/9/24,29.2,29.25,29,29.05,19618 
2019/9/25,29.05,29.1,28.7,28.8,31628 
2019/9/26,28.9,28.9,28.8,28.8,14896 
2019/9/27,28.8,28.9,28.7,28.75,15287 
2019/10/1,28.75,29.05,28.75,28.75,23120 
2019/10/2,28.75,29,28.75,28.8,12199 
2019/10/3,28.65,28.8,28.6,28.75,11550 
2019/10/4,28.7,28.85,28.7,28.85,15819 
2019/10/7,28.95,28.95,28.85,28.95,10517 
2019/10/8,29.2,29.45,29.05,29.1,23952 
2019/10/9,29.15,29.2,29,29,13924 
2019/10/14,29.2,29.2,28.95,29.15,24040 
2019/10/15,29.15,29.2,28.95,29.15,10763 
2019/10/16,29.2,29.2,29.05,29.15,15193 
2019/10/17,29.15,29.25,29.1,29.25,11985 
2019/10/18,29.35,29.35,29,29.1,19270 
2019/10/21,29.1,29.2,28.95,29.2,14836 
2019/10/22,29.2,29.3,29,29.15,19491 
2019/10/23,29.15,29.2,29.1,29.2,12924 
2019/10/24,29.25,29.45,29.25,29.45,19071 
2019/10/25,29.5,29.5,29.3,29.45,10158 
2019/10/28,29.5,29.6,29.4,29.6,14446 
2019/10/29,29.65,29.7,29.55,29.7,10760 
2019/10/30,29.7,29.85,29.6,29.85,18491 
2019/10/31,29.9,30.05,29.9,29.9,25848 
2019/11/1,29.85,29.85,29.6,29.65,16209 
2019/11/4,29.7,29.95,29.65,29.95,15390 
2019/11/5,30.05,30.2,30,30.2,19578 
