Date,Open,High,Low,Close,Volume
2004/1/2,27.2,27.2,27.2,27.2,1
2004/1/5,27.2,27.2,27.2,27.2,0
2004/1/6,27.2,27.2,27.2,27.2,0
2004/1/7,27.2,27.2,27.2,27.2,24
2004/1/8,27.2,27.2,27.2,27.2,0
2004/1/9,27.2,27.2,27.2,27.2,0
2004/1/12,27.2,27.2,27.2,27.2,0
2004/1/13,27.2,27.2,27.2,27.2,0
2004/1/14,27.4,27.4,27.4,27.4,1
2004/1/15,27.4,27.4,27.4,27.4,0
2004/1/16,27.4,27.4,27.4,27.4,2
2004/1/27,28,28,27.4,27.4,13
2004/1/28,27.4,27.4,27.4,27.4,0
2004/1/29,27.4,27.4,27.4,27.4,0
2004/1/30,27.4,27.4,27.4,27.4,0
2004/2/2,27.4,27.4,27.4,27.4,0
2004/2/3,27.4,27.4,27.4,27.4,3
2004/2/4,27.4,27.4,27.4,27.4,0
2004/2/5,27.4,27.4,27.4,27.4,0
2004/2/6,27.4,27.4,27.4,27.4,0
2004/2/9,27.5,27.5,27.5,27.5,3
2004/2/10,27.5,27.5,27.5,27.5,0
2004/2/11,27.5,27.5,27.5,27.5,0
2004/2/12,27.5,27.5,27.5,27.5,0
2004/2/13,27.5,27.5,27.5,27.5,0
2004/2/16,27.5,27.5,27.5,27.5,0
2004/2/17,27.5,27.5,27.5,27.5,0
2004/2/18,27.5,27.5,27.5,27.5,0
2004/2/19,27.5,27.6,27.5,27.6,3
2004/2/20,27.6,27.6,27.6,27.6,0
2004/2/23,27.7,27.7,27.7,27.7,2
2004/2/24,27.7,27.7,27.7,27.7,0
2004/2/25,27.7,27.7,27.7,27.7,0
2004/2/26,27.7,27.7,27.7,27.7,0
2004/2/27,27.7,27.7,27.7,27.7,0
2004/3/1,27.7,27.7,27.7,27.7,0
2004/3/2,27.6,27.6,27.6,27.6,5
2004/3/3,27.7,27.7,27.7,27.7,5
2004/3/4,27.7,27.7,27.7,27.7,0
2004/3/5,27.7,27.7,27.7,27.7,0
2004/3/8,27.7,27.7,27.7,27.7,0
2004/3/9,27.7,27.7,27.7,27.7,0
2004/3/10,28,28,28,28,2
2004/3/11,28,28,28,28,0
2004/3/12,28,28,28,28,0
2004/3/15,28,28,28,28,3
2004/3/16,27.8,28.2,27.8,28.2,6
2004/3/17,28.2,28.2,28.2,28.2,0
2004/3/18,28.2,28.2,28.2,28.2,0
2004/3/19,28.2,28.2,28.2,28.2,0
2004/3/22,28.2,28.2,28.2,28.2,0
2004/3/23,28,28.5,28,28.5,55
2004/3/24,28.5,28.5,28.5,28.5,0
2004/3/25,28.5,28.5,28.5,28.5,0
2004/3/26,28,28.5,28,28.5,19
2004/3/29,28.5,28.5,28.5,28.5,0
2004/3/30,28.5,28.5,28.5,28.5,0
2004/3/31,28.5,28.5,28.5,28.5,0
2004/4/1,28,28.5,28,28.5,23
2004/4/2,28.5,28.5,28.5,28.5,0
2004/4/5,28.2,28.5,28.2,28.5,29
2004/4/6,28.5,28.5,28.5,28.5,2
2004/4/7,28.5,28.5,28.5,28.5,0
2004/4/8,28.5,28.5,28.5,28.5,0
2004/4/9,28.5,28.5,28.5,28.5,0
2004/4/12,28.5,28.5,28.5,28.5,0
2004/4/13,28.5,28.5,28.5,28.5,0
2004/4/14,28.5,28.5,28.5,28.5,6
2004/4/15,28.5,28.5,28.5,28.5,0
2004/4/16,28.5,28.5,28.5,28.5,0
2004/4/19,28.5,28.5,28.5,28.5,0
2004/4/20,28.5,28.5,28.5,28.5,0
2004/4/21,28.5,28.5,28.5,28.5,0
2004/4/22,28.5,28.5,28.5,28.5,0
2004/4/23,28.9,28.9,28.9,28.9,20
2004/4/26,28.9,28.9,28.9,28.9,0
