Date,Open,High,Low,Close,Volume
1991/07/31,   103.0000,103.0,93.5,93.5,52
1991/08/01,    95.0000,97.0,94.0,97.0,31
1991/08/02,    96.0000,96.0,92.0,92.0,20
1991/08/03,    90.0000,90.5,90.0,90.5,17
1991/08/05,    90.0000,91.0,90.0,91.0,5
1991/08/06,    90.0000,90.5,90.0,90.0,8
1991/08/07,    89.0000,89.0,86.0,87.0,8
1991/08/08,    87.0000,88.0,87.0,87.5,12
1991/08/09,    88.0000,89.0,88.0,89.0,10
1991/08/10,    89.0000,89.0,89.0,89.0,5
1991/08/12,    89.0000,91.0,88.0,91.0,7
1991/08/13,    90.0000,90.0,90.0,90.0,4
1991/08/14,    90.0000,90.0,90.0,90.0,4
1991/08/15,    89.0000,89.0,89.0,89.0,3
1991/08/16,    89.0000,89.0,89.0,89.0,5
1991/08/17,    89.0000,89.5,89.0,89.5,6
1991/08/19,    89.5000,89.5,89.0,89.0,6
1991/08/20,    87.0000,87.0,85.0,85.0,7
1991/08/21,    86.0000,87.0,85.5,86.0,5
1991/08/22,    87.5000,89.0,87.5,89.0,5
1991/08/23,    86.0000,86.0,86.0,86.0,2
1991/08/24,    86.0000,86.0,86.0,86.0,0
1991/08/26,    85.0000,85.0,85.0,85.0,1
1991/08/27,    85.5000,86.0,85.5,86.0,3
1991/08/28,    86.0000,86.0,85.5,85.5,8
1991/08/29,    85.5000,86.0,85.0,86.0,5
1991/08/30,    86.0000,87.0,86.0,87.0,4
1991/08/31,    87.0000,87.0,87.0,87.0,0
1991/09/02,    87.0000,87.0,87.0,87.0,0
1991/09/03,    87.0000,87.0,87.0,87.0,3
1991/09/04,    86.0000,86.0,86.0,86.0,3
1991/09/05,    86.0000,86.0,86.0,86.0,1
1991/09/06,    86.5000,86.5,86.5,86.5,1
1991/09/07,    86.5000,86.5,86.5,86.5,1
1991/09/09,    86.5000,86.5,86.5,86.5,1
1991/09/10,    87.0000,87.0,87.0,87.0,2
1991/09/11,    87.5000,88.0,87.5,88.0,6
1991/09/12,    87.0000,87.0,87.0,87.0,2
1991/09/13,    87.0000,91.0,87.0,91.0,17
1991/09/14,    89.5000,89.5,89.5,89.5,1
1991/09/16,    88.5000,88.5,87.0,87.0,11
1991/09/17,    88.0000,88.0,87.5,87.5,4
1991/09/18,    87.0000,87.5,87.0,87.5,4
1991/09/19,    87.5000,87.5,87.5,87.5,0
1991/09/20,    87.5000,87.5,87.5,87.5,1
1991/09/21,    88.0000,88.5,88.0,88.0,5
1991/09/24,    88.5000,88.5,88.5,88.5,5
1991/09/25,    88.5000,88.5,87.0,88.5,6
1991/09/26,    88.5000,89.0,88.5,89.0,5
1991/09/27,    89.0000,89.0,89.0,89.0,11
1991/09/30,    90.0000,90.0,90.0,90.0,1
1991/10/01,    90.0000,90.0,90.0,90.0,0
1991/10/02,    90.0000,90.0,90.0,90.0,0
1991/10/03,    90.0000,90.0,90.0,90.0,0
1991/10/04,    88.0000,88.0,88.0,88.0,3
