Date,Open,High,Low,Close,Volume
2007/07/02,   100.1900,100.41,99.45,100.41,237056
2007/07/03,   101.0400,101.15,100.49,100.52,344921
2007/07/04,   101.6000,101.82,101.06,101.06,305010
2007/07/05,   102.1100,102.35,101.29,102.26,385578
2007/07/06,   102.5200,103.56,102.32,103.4,481838
2007/07/09,   104.4700,105.11,103.9,104.81,423566
2007/07/10,   105.6200,106.02,104.48,105.77,365494
2007/07/11,   105.6000,106.37,104.58,104.76,400024
2007/07/12,   106.0900,106.53,105.37,105.49,474216
2007/07/13,   107.6500,107.65,105.0,105.42,365619
2007/07/16,   105.3900,105.64,103.16,103.4,321140
2007/07/17,   103.5400,104.2,102.09,104.08,275661
2007/07/18,   104.2700,105.09,103.96,104.06,282474
2007/07/19,   103.7700,105.49,103.77,104.65,271145
2007/07/20,   106.2500,106.83,105.77,106.83,354892
2007/07/23,   107.2800,109.14,106.68,108.87,401477
2007/07/24,   109.8900,110.67,109.02,109.63,598951
2007/07/25,   109.3100,110.92,109.18,110.74,492960
2007/07/26,   112.0200,112.23,108.54,108.54,575924
2007/07/27,   104.9800,107.65,104.68,104.95,383087
2007/07/30,   104.0500,105.43,103.2,105.31,290904
2007/07/31,   107.6300,108.45,107.1,108.04,345088
2007/08/01,   107.1200,108.31,104.35,104.35,407259
2007/08/02,   106.7100,107.0,100.75,104.12,283914
2007/08/03,   106.3300,106.48,104.55,104.59,238797
2007/08/06,   102.4400,103.6,101.91,103.02,190438
2007/08/07,   104.8600,104.86,101.82,101.82,265520
2007/08/08,   103.1500,104.87,102.92,104.87,210209
2007/08/09,   106.6800,107.15,106.05,106.23,263103
2007/08/10,   103.0400,104.32,102.99,103.71,196407
2007/08/13,   105.2200,105.42,103.6,104.11,203585
2007/08/14,   104.4600,106.58,103.05,104.6,227727
2007/08/15,   103.1200,103.38,99.27,99.78,203611
2007/08/16,    97.2300,98.29,94.39,94.63,237218
2007/08/17,    94.7500,96.08,91.36,93.64,234637
2007/08/20,    98.6300,98.63,96.86,97.86,159395
2007/08/21,    98.3000,98.73,96.16,96.28,158646
2007/08/22,    96.9600,97.11,95.77,96.72,145810
2007/08/23,    98.9000,99.15,97.89,98.63,184743
2007/08/24,    98.4000,99.11,97.58,97.58,144550
2007/08/27,    99.3500,99.47,97.94,97.94,139232
2007/08/28,    98.1500,99.15,97.76,98.1,89721
2007/08/29,    95.7000,97.23,95.51,97.23,116962
2007/08/30,    98.6500,99.35,98.44,98.54,159124
2007/08/31,    99.5900,101.08,99.05,101.08,160020
2007/09/03,   101.6600,101.95,100.73,101.28,197757
2007/09/04,   101.8600,102.45,100.83,101.27,177948
2007/09/05,   102.3300,102.33,100.41,100.57,151588
2007/09/06,   100.4700,101.49,99.9,101.47,118352
2007/09/07,   102.3400,102.93,101.76,102.21,146062
2007/09/10,   100.5300,101.75,100.46,101.01,94598
2007/09/11,   101.6400,102.49,101.31,102.1,127828
2007/09/12,   102.8700,103.38,102.46,102.95,182769
2007/09/13,   103.5100,103.51,101.75,101.75,168525
2007/09/14,   102.7200,102.88,101.85,102.23,122837
2007/09/17,   102.6300,102.63,100.29,100.29,105167
2007/09/19,   102.0000,102.24,98.65,98.93,172941
2007/09/20,    99.2000,100.5,98.77,99.11,111755
2007/09/21,    99.3700,100.09,99.12,100.09,99229
2007/09/26,   100.6500,101.56,100.4,101.36,150427
2007/09/27,   102.3400,103.73,102.3,103.73,256276
2007/09/28,   104.1300,104.34,103.24,103.24,161321
2007/09/29,   103.5900,104.45,103.59,104.25,131771
2007/10/01,   104.7100,104.81,103.19,103.22,129244
2007/10/02,   104.8100,104.82,103.98,103.98,140560
