Date,Open,High,Low,Close,Volume
2007/07/02,   100.5700,100.57,99.33,99.68,48230
2007/07/03,   100.6000,100.6,99.78,99.96,50330
2007/07/04,   100.6700,101.11,100.19,100.36,58364
2007/07/05,   100.8000,101.68,100.74,101.58,53960
2007/07/06,   102.3700,102.86,101.74,102.5,56428
2007/07/09,   103.7800,104.18,103.59,103.88,61202
2007/07/10,   104.8700,104.87,103.56,104.55,73410
2007/07/11,   104.1200,104.58,102.46,102.63,65595
2007/07/12,   103.8900,104.25,102.88,102.92,56493
2007/07/13,   104.1100,104.28,101.3,101.3,68493
2007/07/16,   101.9900,102.8,100.15,100.54,55174
2007/07/17,   101.3700,101.37,100.25,101.36,53907
2007/07/18,   101.8000,103.27,101.62,101.62,61030
2007/07/19,   102.7900,103.41,102.36,102.59,62505
2007/07/20,   104.0500,104.88,103.46,104.59,61363
2007/07/23,   105.6200,106.38,105.45,105.72,54232
2007/07/24,   107.2100,108.25,106.18,106.46,75836
2007/07/25,   106.8200,109.25,106.47,108.79,66033
2007/07/26,   111.1800,111.65,107.91,107.99,94184
2007/07/27,   104.4700,108.25,104.47,105.61,54260
2007/07/30,   105.8400,105.89,102.7,103.43,42510
2007/07/31,   104.9700,106.46,104.96,105.91,51813
2007/08/01,   105.7800,107.8,104.35,104.49,45839
2007/08/02,   106.6100,107.32,99.83,102.57,44410
2007/08/03,   105.3300,105.33,103.1,103.54,30083
2007/08/06,   101.5000,102.23,100.05,101.16,20059
2007/08/07,   102.7700,102.97,99.36,99.38,24872
2007/08/08,    99.5800,101.06,99.19,101.06,39104
2007/08/09,   102.5800,103.24,101.9,102.83,40185
2007/08/10,    99.9300,102.83,99.81,102.56,32231
2007/08/13,   104.3700,104.83,102.26,102.58,39993
2007/08/14,   102.9800,103.85,101.61,101.71,31345
2007/08/15,   100.5300,100.74,96.51,97.28,32083
2007/08/16,    94.4400,94.57,90.85,90.85,28185
2007/08/17,    89.1300,90.26,84.78,85.87,31843
2007/08/20,    89.9800,90.16,88.64,89.64,26056
2007/08/21,    90.1900,91.26,87.65,88.07,29241
2007/08/22,    87.6600,87.66,85.14,86.75,23233
2007/08/23,    88.6600,90.04,88.14,90.02,25318
2007/08/24,    90.3100,91.48,89.4,90.55,25073
2007/08/27,    91.8400,92.04,88.99,89.69,22019
2007/08/28,    89.3500,90.28,88.67,90.04,21844
2007/08/29,    87.8800,89.12,87.82,89.07,17724
2007/08/30,    90.4000,91.04,89.65,89.65,20088
2007/08/31,    90.3200,90.52,89.69,90.24,17905
2007/09/03,    90.9400,90.94,89.19,89.42,29783
2007/09/04,    89.2900,89.59,88.52,89.28,23530
2007/09/05,    90.2200,91.18,89.88,90.0,26618
2007/09/06,    89.3800,90.18,89.08,90.18,18379
2007/09/07,    90.9300,91.51,90.55,90.72,17458
2007/09/10,    89.0600,90.34,88.82,90.16,13727
2007/09/11,    90.1800,90.83,89.98,90.18,20902
2007/09/12,    91.0400,91.35,90.41,90.41,22409
2007/09/13,    91.0400,91.04,88.8,88.8,19314
2007/09/14,    89.4000,89.64,88.66,88.75,20012
2007/09/17,    88.8800,88.88,86.79,86.96,14419
2007/09/19,    88.1000,88.24,84.33,84.45,25491
2007/09/20,    84.6200,85.58,83.11,83.53,17803
2007/09/21,    83.7400,85.22,83.65,85.22,11235
2007/09/26,    86.3600,87.08,86.07,86.9,14861
2007/09/27,    88.0200,89.68,88.02,89.68,20291
2007/09/28,    90.7800,91.28,90.63,90.95,20433
2007/09/29,    91.5000,93.19,91.16,93.19,21873
2007/10/01,    93.8400,94.28,92.05,92.21,22051
2007/10/02,    93.1100,93.37,92.3,92.88,21767
2007/10/03,    93.0900,93.3,92.26,92.73,20279
2007/10/04,    92.3400,93.28,92.27,92.65,27848
2007/10/05,    92.6500,92.94,91.42,91.72,21035
2007/10/08,    92.2500,92.29,89.78,90.06,22239
2007/10/09,    90.0500,90.59,88.62,89.36,21088
2007/10/11,    89.3000,89.75,88.43,88.46,13835
2007/10/12,    88.0200,88.58,87.18,87.24,27404
2007/10/15,    87.3100,87.35,85.56,85.94,22417
2007/10/16,    85.3300,85.88,85.14,85.54,15900
2007/10/17,    85.5300,86.34,85.23,86.07,16255
2007/10/18,    86.5100,87.5,86.51,87.29,25104
2007/10/19,    87.4800,87.98,86.65,86.67,25882
2007/10/22,    83.9000,84.47,83.47,83.47,16693
2007/10/23,    84.0800,84.39,83.89,83.99,17421
2007/10/24,    84.7600,85.08,83.44,83.55,18380
2007/10/25,    84.2200,84.6,83.24,83.57,19800
2007/10/26,    83.8100,83.81,81.82,82.39,18320
2007/10/29,    82.6200,82.75,80.28,80.65,19630
2007/10/30,    80.5100,80.54,79.43,79.69,22252
2007/10/31,    79.6300,79.63,78.2,78.56,18842
2007/11/01,    78.5900,78.91,76.61,76.95,23440
2007/11/02,    76.0600,76.06,74.32,74.77,17095
2007/11/05,    74.7500,74.85,73.28,74.53,13171
2007/11/06,    74.4600,75.09,74.18,74.8,13599
2007/11/07,    75.3900,75.78,74.07,74.37,13000
2007/11/08,    72.2600,72.32,69.99,70.46,18088
2007/11/09,    70.6300,70.67,67.52,68.94,19884
2007/11/12,    66.1900,66.35,65.23,65.72,15778
2007/11/13,    64.9900,65.06,63.98,64.87,19161
2007/11/14,    67.0400,67.78,66.57,67.34,17574
2007/11/15,    67.4600,67.46,66.91,67.1,10001
2007/11/16,    66.1500,67.45,66.0,67.37,9753
2007/11/19,    67.9000,68.37,67.34,67.35,10363
2007/11/20,    65.8700,67.88,65.64,67.88,9100
2007/11/21,    67.9300,68.52,67.25,67.27,11510
2007/11/22,    67.1200,67.59,66.73,66.73,8641
2007/11/23,    66.9600,67.28,65.51,65.57,9539
2007/11/26,    66.3300,66.41,65.48,65.79,9009
2007/11/27,    64.4800,64.8,63.14,64.12,14659
2007/11/28,    64.2900,64.59,63.49,63.49,12789
2007/11/29,    64.6400,65.31,64.17,64.32,11727
2007/11/30,    64.8900,65.76,64.73,65.66,10264
2007/12/03,    66.2400,66.61,65.86,66.2,13123
2007/12/04,    66.0500,67.26,65.79,67.26,11035
2007/12/05,    67.3100,69.37,67.31,69.27,16347
2007/12/06,    70.2000,70.84,68.39,68.39,23605
2007/12/07,    69.3500,69.82,68.81,68.81,17577
2007/12/10,    68.9000,68.9,67.87,67.9,11788
2007/12/11,    68.2600,68.38,67.48,67.82,11606
2007/12/12,    66.8300,67.11,66.04,66.49,7936
2007/12/13,    66.7200,67.15,63.96,64.07,15625
2007/12/14,    63.5000,63.74,60.93,62.29,16252
2007/12/17,    61.7800,62.09,58.95,59.09,14474
2007/12/18,    56.8500,58.12,55.99,57.16,20667
2007/12/19,    57.4200,58.64,57.41,58.22,16718
2007/12/20,    58.6300,58.81,56.48,56.78,13986
2007/12/21,    56.7300,56.9,55.34,55.98,16841
2007/12/24,    57.0700,58.14,56.99,58.14,10734
2007/12/25,    58.4200,58.61,58.04,58.3,9027
2007/12/26,    58.0400,58.44,57.29,58.42,7585
2007/12/27,    58.4300,60.6,58.41,60.15,14044
2007/12/28,    59.9600,61.58,59.96,61.58,16816
2007/12/31,    61.9800,63.58,61.81,63.58,16403
2008/01/02,    63.8900,64.81,63.16,63.23,21011
2008/01/03,    61.9200,62.61,61.42,62.32,12094
2008/01/04,    62.2100,63.04,61.67,61.85,9994
2008/01/07,    60.0800,60.08,58.21,58.48,10515
2008/01/08,    58.0800,59.01,57.58,57.9,8702
2008/01/09,    56.4100,58.12,56.39,58.12,9347
2008/01/10,    59.0400,59.18,58.17,58.25,12182
2008/01/11,    58.5900,58.65,58.0,58.1,8062
2008/01/14,    58.7100,58.95,56.59,56.76,9411
2008/01/15,    57.0300,58.22,56.75,56.94,9510
2008/01/16,    56.0900,56.09,55.12,55.24,7046
2008/01/17,    55.4900,56.06,54.7,55.41,7569
2008/01/18,    54.6900,56.09,54.38,56.09,8706
2008/01/21,    56.0200,56.41,55.38,55.78,4806
2008/01/22,    53.2600,53.5,52.05,52.66,11167
2008/01/23,    52.8400,53.0,49.65,49.92,13168
2008/01/24,    50.2100,50.61,47.9,47.91,13020
2008/01/25,    48.4900,49.91,48.49,49.86,10619
2008/01/28,    49.4300,49.43,47.71,47.98,8240
2008/01/29,    48.0300,48.2,47.41,47.84,7632
2008/01/30,    47.6700,47.99,47.48,47.58,4738
2008/01/31,    47.2300,47.38,45.89,46.28,9737
2008/02/01,    46.4800,46.79,46.48,46.61,8151
2008/02/12,    45.9500,46.1,45.06,45.06,5382
2008/02/13,    44.7700,44.96,44.09,44.14,7511
2008/02/14,    44.7400,46.23,44.74,46.23,8181
2008/02/15,    45.7800,47.35,45.38,47.35,10216
2008/02/18,    47.9100,48.86,47.82,48.57,11947
