Date,Open,High,Low,Close
2019/10/1,84.8,86,84.8,85.95
2019/10/2,85.6,85.9,85.6,85.65
2019/10/3,84.4,85.1,84.3,84.8
2019/10/4,85.2,85.4,84.75,85.15
2019/10/7,85.4,85.65,85.2,85.45
2019/10/8,85.85,86.6,85.85,86.5
2019/10/9,86.15,86.2,85.8,85.8
2019/10/14,87,87.55,87,87.55
2019/10/15,87.55,87.85,87.3,87.7
2019/10/16,88,88.15,87.85,88.1
2019/10/17,88.05,88.15,87.8,88.15
2019/10/18,88.15,88.65,87.9,87.95
2019/10/21,87.95,88,87.75,87.85
2019/10/22,88.2,88.8,88.2,88.7
2019/10/23,88.7,88.8,88.3,88.45
2019/10/24,88.7,88.8,88.5,88.8
2019/10/25,89.2,89.2,88.6,88.8
2019/10/28,89.25,89.3,89,89.2
2019/10/29,89.5,89.65,89.35,89.45
2019/10/30,89.45,89.85,89.3,89.85
2019/10/31,89.9,90.6,89.9,90.1
2019/11/1,90,90.2,89.75,90.1
2019/11/4,90.55,92.25,90.55,92.2
2019/11/5,92.4,92.9,92.35,92.9
2019/11/6,92.95,93.35,92.75,93.35
2019/11/7,93.2,93.2,92.35,92.85
2019/11/8,93,93.05,92.4,92.55
2019/11/11,92.4,92.45,91.05,91.15
2019/11/12,91.55,92,91.55,92
2019/11/13,91.55,91.65,91.05,91.45
2019/11/14,91.6,91.8,91.2,91.4
2019/11/15,92,92.5,92,92.3
2019/11/18,92.5,92.9,92.4,92.9
2019/11/19,92.9,93.6,92.65,93.6
2019/11/20,93.6,93.6,93.1,93.25
2019/11/21,92.3,92.55,91.8,92.5
2019/11/22,92.55,92.75,92.4,92.55
2019/11/25,93,93.1,92.55,92.6
2019/11/26,92.95,93.3,92.8,92.85
2019/11/27,92.85,93.2,92.75,93.2
2019/11/28,93.25,93.25,92.8,92.95
2019/11/29,92.85,92.85,91.45,91.5
2019/12/2,91.95,92.15,91.75,92.05
2019/12/3,91.7,92.2,91.6,92.05
2019/12/4,91.85,91.9,91.4,91.7
2019/12/5,92.35,93,92.2,92.9
2019/12/6,93.3,93.5,92.75,93.05
2019/12/9,93.2,93.8,93.2,93.65
2019/12/10,93.4,93.4,92.8,93
2019/12/11,93,93.75,92.95,93.75
2019/12/12,94.35,96.1,94.35,95.85
2019/12/13,96.75,97.4,96.7,96.9
2019/12/16,96.95,97.05,96.65,96.85
2019/12/17,96.75,98.15,96.7,98.15
2019/12/18,98,98.3,97.8,98.2
2019/12/19,98.15,98.2,97.55,97.65
2019/12/20,97.55,97.55,96.7,96.95
2019/12/23,97,97.3,96.95,97.15
2019/12/24,97.3,97.45,97.2,97.2
2019/12/25,97.2,97.45,97.05,97.35
2019/12/26,97.55,97.55,97.1,97.35
2019/12/27,97.6,98.15,97.6,98
2019/12/30,98,98.25,97.6,97.8
2019/12/31,97.1,97.2,96.95,96.95
2020/1/2,97.05,98,97.05,97.65
2020/1/3,98.3,98.7,97,97.65
2020/1/6,97.05,97.1,96.4,96.4
2020/1/7,96.45,96.7,95.4,96.1
2020/1/8,95.2,96.2,95.05,95.65
2020/1/9,96.3,97.1,96.3,96.95
2020/1/10,97.5,97.8,96.95,97.3
2020/1/13,97.85,98.1,97.5,98
2020/1/14,98.5,98.85,98.4,98.6
2020/1/15,98.7,98.7,97.45,97.6
2020/1/16,97.15,97.5,97,97.3
2020/1/17,97.7,97.75,97.1,97.3
2020/1/20,97.55,98,97.55,97.7
2020/1/30,95,95,92.15,92.15
2020/1/31,90.65,90.65,89.65,89.95
