Date, Open, High, Low, Close, Volume
43467.00 ,63.60 ,64.00 ,61.00 ,61.10 ,5732.00 
43468.00 ,57.80 ,59.90 ,56.80 ,58.30 ,8159.00 
43469.00 ,57.30 ,57.30 ,52.50 ,52.50 ,10576.00 
43472.00 ,53.00 ,54.70 ,52.00 ,52.80 ,6607.00 
43473.00 ,53.20 ,53.50 ,52.30 ,52.50 ,2721.00 
43474.00 ,53.20 ,53.80 ,52.60 ,53.00 ,2477.00 
43475.00 ,53.50 ,56.60 ,53.10 ,55.10 ,7104.00 
43476.00 ,55.10 ,55.80 ,54.20 ,54.60 ,2822.00 
43479.00 ,55.60 ,55.60 ,54.20 ,54.20 ,1321.00 
43480.00 ,54.20 ,56.90 ,53.50 ,56.50 ,3702.00 
43481.00 ,56.50 ,58.70 ,56.50 ,57.80 ,4199.00 
43482.00 ,57.90 ,58.90 ,56.60 ,56.60 ,2215.00 
43483.00 ,56.60 ,58.40 ,56.50 ,58.10 ,1615.00 
43486.00 ,53.60 ,55.70 ,53.50 ,55.20 ,6089.00 
43487.00 ,55.40 ,56.90 ,55.20 ,56.30 ,2795.00 
43488.00 ,56.30 ,60.00 ,55.90 ,60.00 ,9256.00 
43489.00 ,60.40 ,66.00 ,59.60 ,65.60 ,21656.00 
43490.00 ,65.90 ,66.80 ,63.20 ,64.40 ,17577.00 
43493.00 ,65.80 ,67.50 ,65.20 ,66.30 ,7182.00 
43494.00 ,66.00 ,67.40 ,65.60 ,66.90 ,5072.00 
43495.00 ,67.50 ,68.90 ,65.80 ,65.80 ,7443.00 
43507.00 ,71.50 ,71.50 ,69.20 ,69.90 ,6075.00 
43508.00 ,69.90 ,72.40 ,68.70 ,70.00 ,7651.00 
43509.00 ,70.00 ,70.90 ,68.50 ,68.70 ,4489.00 
43510.00 ,68.20 ,69.30 ,68.20 ,68.50 ,1793.00 
43511.00 ,69.20 ,70.90 ,68.20 ,68.20 ,4016.00 
43514.00 ,68.80 ,69.70 ,67.00 ,68.50 ,3283.00 
43515.00 ,69.10 ,73.10 ,68.70 ,70.10 ,10421.00 
43516.00 ,70.10 ,70.90 ,70.00 ,70.10 ,2576.00 
43517.00 ,71.80 ,72.70 ,70.40 ,71.00 ,4560.00 
43518.00 ,71.00 ,71.40 ,68.70 ,70.10 ,2465.00 
43521.00 ,70.60 ,71.00 ,69.90 ,70.40 ,1524.00 
43522.00 ,70.60 ,70.90 ,69.20 ,69.20 ,1336.00 
43523.00 ,69.80 ,69.80 ,68.00 ,69.40 ,1361.00 
43528.00 ,69.50 ,71.40 ,68.80 ,69.10 ,2429.00 
43529.00 ,69.50 ,69.60 ,68.60 ,68.90 ,1289.00 
43530.00 ,69.10 ,69.60 ,68.80 ,68.80 ,857.00 
43531.00 ,69.00 ,69.60 ,67.00 ,67.30 ,2006.00 
43532.00 ,67.10 ,69.40 ,66.80 ,69.40 ,2436.00 
43535.00 ,69.50 ,70.50 ,69.00 ,69.00 ,1665.00 
43536.00 ,69.70 ,70.50 ,69.10 ,69.10 ,1439.00 
43537.00 ,69.70 ,70.10 ,68.70 ,69.00 ,976.00 
43538.00 ,69.80 ,70.30 ,68.20 ,68.20 ,1518.00 
43539.00 ,68.70 ,69.60 ,68.20 ,69.00 ,1580.00 
43542.00 ,70.00 ,70.20 ,69.30 ,69.40 ,1149.00 
43543.00 ,70.00 ,73.10 ,69.30 ,72.50 ,6889.00 
43544.00 ,73.50 ,76.90 ,73.00 ,75.80 ,13080.00 
43545.00 ,76.50 ,78.50 ,74.20 ,74.20 ,7892.00 
43546.00 ,75.50 ,77.50 ,74.30 ,76.30 ,5863.00 
43549.00 ,74.70 ,75.50 ,74.00 ,74.00 ,3182.00 
43550.00 ,74.80 ,75.50 ,73.80 ,73.80 ,1889.00 
43551.00 ,74.40 ,74.50 ,72.70 ,72.80 ,1922.00 
43552.00 ,72.80 ,72.80 ,71.10 ,71.40 ,2334.00 
43553.00 ,71.90 ,74.20 ,71.50 ,74.00 ,3580.00 
43556.00 ,74.50 ,74.70 ,71.70 ,71.70 ,3135.00 
43557.00 ,72.30 ,72.80 ,71.80 ,72.00 ,1841.00 
43558.00 ,74.00 ,74.40 ,72.70 ,73.70 ,2981.00 
43563.00 ,73.80 ,75.90 ,73.00 ,74.10 ,3325.00 
43564.00 ,74.20 ,74.70 ,73.30 ,73.60 ,1776.00 
43565.00 ,73.40 ,74.50 ,73.30 ,74.50 ,1145.00 
43566.00 ,74.80 ,75.90 ,74.00 ,74.00 ,3611.00 
43567.00 ,74.30 ,74.50 ,71.10 ,71.90 ,3102.00 
43570.00 ,72.50 ,72.70 ,71.60 ,72.50 ,1291.00 
43571.00 ,72.50 ,72.90 ,71.50 ,71.90 ,1388.00 
43572.00 ,72.20 ,72.30 ,69.00 ,69.40 ,3408.00 
43573.00 ,70.10 ,70.60 ,65.80 ,70.00 ,6053.00 
43574.00 ,70.40 ,70.40 ,68.20 ,68.20 ,1862.00 
43577.00 ,70.40 ,71.00 ,68.90 ,68.90 ,1883.00 
43578.00 ,69.00 ,71.00 ,68.20 ,68.20 ,2401.00 
43579.00 ,68.50 ,70.00 ,68.20 ,68.40 ,2199.00 
43580.00 ,68.40 ,69.00 ,64.40 ,64.60 ,6214.00 
43581.00 ,64.10 ,64.10 ,62.10 ,62.40 ,3225.00 
43584.00 ,62.90 ,63.50 ,61.70 ,62.00 ,1949.00 
43585.00 ,62.20 ,62.20 ,60.60 ,60.90 ,2131.00 
43587.00 ,64.40 ,64.50 ,62.10 ,62.40 ,4128.00 
43588.00 ,63.30 ,64.00 ,62.80 ,63.50 ,3354.00 
43591.00 ,62.80 ,64.10 ,62.10 ,63.60 ,1804.00 
43592.00 ,64.00 ,64.50 ,63.50 ,63.70 ,1497.00 
43593.00 ,63.30 ,64.70 ,62.40 ,62.70 ,2590.00 
43594.00 ,63.10 ,63.50 ,61.20 ,62.00 ,1654.00 
43595.00 ,62.10 ,62.60 ,60.40 ,60.80 ,1859.00 
43598.00 ,61.00 ,61.50 ,59.00 ,59.00 ,2429.00 
43599.00 ,57.80 ,60.40 ,56.30 ,60.40 ,2741.00 
43600.00 ,61.00 ,62.60 ,60.60 ,62.60 ,2459.00 
43601.00 ,62.60 ,63.00 ,60.00 ,60.00 ,1803.00 
43602.00 ,61.10 ,61.50 ,59.20 ,60.80 ,1404.00 
43605.00 ,62.00 ,66.20 ,61.80 ,64.40 ,7804.00 
43606.00 ,64.40 ,64.90 ,63.10 ,63.10 ,3639.00 
43607.00 ,63.40 ,64.30 ,62.40 ,62.40 ,1793.00 
43608.00 ,62.40 ,63.70 ,61.80 ,63.10 ,1922.00 
43609.00 ,64.00 ,64.10 ,62.30 ,62.30 ,1436.00 
43612.00 ,62.90 ,62.90 ,61.70 ,62.20 ,934.00 
43613.00 ,62.70 ,62.70 ,61.90 ,62.20 ,876.00 
43614.00 ,62.60 ,63.00 ,61.80 ,62.10 ,1545.00 
43615.00 ,62.10 ,62.70 ,61.90 ,62.00 ,840.00 
43616.00 ,63.10 ,66.00 ,63.00 ,65.40 ,7393.00 
43619.00 ,65.50 ,66.60 ,64.00 ,64.10 ,3857.00 
43620.00 ,64.10 ,66.60 ,64.10 ,66.00 ,3870.00 
43621.00 ,67.00 ,69.80 ,66.40 ,68.60 ,11217.00 
43622.00 ,68.70 ,69.70 ,67.50 ,68.70 ,5194.00 
43626.00 ,70.10 ,70.70 ,69.10 ,70.10 ,4252.00 
43627.00 ,70.50 ,70.70 ,69.20 ,69.30 ,2340.00 
43628.00 ,70.30 ,72.40 ,70.00 ,70.00 ,6540.00 
43629.00 ,69.30 ,71.30 ,69.00 ,69.60 ,3681.00 
43630.00 ,70.30 ,70.50 ,69.40 ,69.60 ,1726.00 
43633.00 ,69.70 ,70.40 ,69.70 ,69.70 ,986.00 
43634.00 ,70.30 ,70.50 ,69.30 ,69.30 ,1150.00 
43635.00 ,69.80 ,70.40 ,69.30 ,69.90 ,2118.00 
43636.00 ,70.70 ,70.80 ,69.90 ,69.90 ,1315.00 
43637.00 ,70.70 ,70.70 ,66.50 ,66.90 ,8972.00 
43640.00 ,66.80 ,67.00 ,65.00 ,66.10 ,4429.00 
43641.00 ,66.40 ,67.00 ,65.90 ,66.20 ,1697.00 
43642.00 ,66.30 ,66.80 ,66.00 ,66.40 ,814.00 
43643.00 ,66.80 ,66.80 ,65.50 ,65.50 ,1291.00 
43644.00 ,65.50 ,65.60 ,64.70 ,64.90 ,1269.00 
43647.00 ,65.70 ,66.00 ,65.00 ,65.10 ,962.00 
43648.00 ,65.50 ,67.00 ,65.40 ,67.00 ,1796.00 
43649.00 ,67.30 ,67.30 ,66.50 ,67.10 ,1310.00 
43650.00 ,67.60 ,69.50 ,67.60 ,69.00 ,3285.00 
43651.00 ,69.00 ,69.80 ,68.50 ,69.20 ,2015.00 
43654.00 ,69.30 ,69.40 ,68.50 ,69.00 ,1029.00 
43655.00 ,69.40 ,71.40 ,69.40 ,70.50 ,5192.00 
43656.00 ,70.50 ,70.90 ,69.80 ,70.30 ,1671.00 
43657.00 ,70.70 ,71.00 ,69.80 ,69.80 ,1424.00 
43658.00 ,70.10 ,70.40 ,69.50 ,69.60 ,866.00 
43661.00 ,70.00 ,70.00 ,68.80 ,69.30 ,1057.00 
43662.00 ,69.30 ,74.60 ,69.30 ,74.00 ,10949.00 
43663.00 ,75.80 ,80.10 ,75.50 ,78.10 ,25951.00 
43664.00 ,78.20 ,80.90 ,76.70 ,76.80 ,15160.00 
43665.00 ,78.50 ,79.70 ,77.10 ,79.20 ,7907.00 
43668.00 ,80.70 ,81.20 ,78.30 ,78.80 ,6504.00 
