Date,Open,High,Low,Close,Volume
2019/11/01,299.5,299.5,296.5,299,30216 
2019/11/04,302.5,308,301,307,45155 
2019/11/05,307.5,310.5,307,310.5,32253 
2019/11/06,309,311.5,308,311,22149 
2019/11/07,310,310,306.5,309,28453 
2019/11/08,308.5,309,305.5,305.5,26230 
2019/11/11,305,305,300,301,35285 
2019/11/12,302.5,305,302,305,19016 
2019/11/13,303,304,301.5,304,18422 
2019/11/14,304.5,305,302,303.5,15734 
2019/11/15,305.5,307.5,304.5,307,29038 
2019/11/18,308.5,311,307,311,18741 
2019/11/19,312.5,315,311,315,33096 
2019/11/20,314,314,312,313.5,24538 
2019/11/21,309.5,311,307,311,30163 
2019/11/22,310,310.5,308,309,26492 
2019/11/25,310.5,310.5,307,307,19855 
2019/11/26,310,310.5,307,307,101916 
2019/11/27,307.5,311.5,307.5,311,18527 
2019/11/28,310,312,308.5,309.5,19718 
2019/11/29,309,309.5,305,305,32423 
2019/12/02,307,308,306.5,307.5,25516 
2019/12/03,305,307,305,307,27686 
2019/12/04,305,306,304,306,34911 
2019/12/05,309,312,309,312,39349 
2019/12/06,315,316,311,313,18402 
2019/12/09,314,316.5,314,316,23556 
2019/12/10,315,315.5,312.5,313.5,20847 
2019/12/11,314,319,313,319,34329 
2019/12/12,325,334.5,324,331.5,52801 
2019/12/13,340,343,338,339,60843 
2019/12/16,336.5,338.5,336,336,48340 
2019/12/17,335,345,335,345,41428 
2019/12/18,341.5,345,341.5,344.5,42486 
2019/12/19,340,342,335,335,55667 
2019/12/20,332,333,328.5,329,86280 
2019/12/23,329.5,334,329.5,334,26911 
2019/12/24,334,334.5,332,332,13783 
2019/12/25,332,334.5,331,333,12262 
2019/12/26,333,334,331.5,333,11427 
2019/12/27,335,338,335,338,16677 
2019/12/30,338,339,334,334.5,21591 
2019/12/31,331,333.5,331,331,22950 
2020/01/02,332.5,339,332.5,339,33282 
2020/01/03,344,345,335.5,339.5,42023 
2020/01/06,333,334.5,332,332,45677 
2020/01/07,332.5,333,326.5,329.5,51746 
2020/01/08,325,333,325,329.5,37913 
2020/01/09,335,337.5,333.5,337.5,32397 
2020/01/10,340.5,341,336,339.5,27880 
2020/01/13,342,342,339,341.5,30663 
2020/01/14,345.5,346,344.5,346,30368 
2020/01/15,345,345,337.5,340,54575 
2020/01/16,330,336.5,330,334.5,58217 
2020/01/17,334,335.5,332,333,53908 
2020/01/20,334,335.5,333,333,35551 
2020/01/30,326,326,316.5,316.5,126820 
2020/01/31,323,323.5,319,320,62912 
