Date,Open,High,Low,Close,Volume
43467.00 ,22.10 ,22.10 ,21.70 ,21.80 ,2088.00 
43468.00 ,21.90 ,22.05 ,21.50 ,21.70 ,3473.00 
43469.00 ,21.50 ,21.50 ,20.85 ,21.20 ,5861.00 
43472.00 ,21.65 ,21.80 ,21.50 ,21.80 ,4286.00 
43473.00 ,21.95 ,22.10 ,21.75 ,21.90 ,3281.00 
43474.00 ,22.00 ,23.50 ,22.00 ,22.70 ,12888.00 
43475.00 ,23.40 ,23.40 ,23.00 ,23.20 ,7355.00 
43476.00 ,23.20 ,23.30 ,22.90 ,23.20 ,4094.00 
43479.00 ,23.40 ,23.75 ,23.25 ,23.30 ,7368.00 
43480.00 ,23.50 ,23.60 ,23.35 ,23.60 ,5030.00 
43481.00 ,23.70 ,23.70 ,23.40 ,23.40 ,3542.00 
43482.00 ,23.55 ,24.15 ,23.50 ,23.80 ,7065.00 
43483.00 ,24.15 ,24.35 ,23.95 ,24.00 ,8716.00 
43486.00 ,24.15 ,24.35 ,23.85 ,24.30 ,5151.00 
43487.00 ,24.25 ,24.30 ,23.85 ,23.85 ,3846.00 
43488.00 ,23.85 ,24.00 ,23.50 ,23.60 ,3918.00 
43489.00 ,23.65 ,24.10 ,23.60 ,24.05 ,3695.00 
43490.00 ,24.15 ,24.20 ,23.90 ,24.05 ,6366.00 
43493.00 ,24.20 ,24.20 ,23.90 ,24.00 ,5163.00 
43494.00 ,23.95 ,24.20 ,23.75 ,24.05 ,3953.00 
43495.00 ,24.20 ,25.10 ,24.10 ,25.05 ,12473.00 
43507.00 ,25.25 ,25.35 ,24.40 ,24.75 ,10542.00 
43508.00 ,24.70 ,24.80 ,24.05 ,24.50 ,9457.00 
43509.00 ,24.60 ,24.65 ,24.05 ,24.10 ,8138.00 
43510.00 ,24.20 ,24.50 ,24.15 ,24.40 ,4600.00 
43511.00 ,24.30 ,24.35 ,24.05 ,24.20 ,4182.00 
43514.00 ,24.30 ,24.70 ,24.25 ,24.60 ,3488.00 
