Date, Open, High, Low, Close, Volume
43467.00 ,153.50 ,153.50 ,150.50 ,151.00 ,496.00 
43468.00 ,152.00 ,156.00 ,150.50 ,153.00 ,891.00 
43469.00 ,152.00 ,161.00 ,151.50 ,160.00 ,1596.00 
43472.00 ,161.50 ,163.50 ,158.00 ,158.50 ,1526.00 
43473.00 ,161.50 ,171.50 ,160.50 ,168.00 ,4177.00 
43474.00 ,168.00 ,171.50 ,167.50 ,168.00 ,1961.00 
43475.00 ,169.50 ,175.00 ,168.50 ,168.50 ,2426.00 
43476.00 ,170.00 ,172.00 ,167.50 ,170.50 ,1112.00 
43479.00 ,172.00 ,172.50 ,166.00 ,166.50 ,1208.00 
43480.00 ,167.50 ,168.00 ,164.50 ,164.50 ,1071.00 
43481.00 ,164.00 ,165.50 ,160.50 ,161.00 ,1610.00 
43482.00 ,161.00 ,163.00 ,158.50 ,160.50 ,1513.00 
43483.00 ,162.00 ,163.50 ,161.00 ,163.50 ,594.00 
43486.00 ,165.50 ,171.00 ,165.00 ,169.50 ,2041.00 
43487.00 ,170.00 ,171.50 ,166.00 ,167.00 ,1220.00 
43488.00 ,168.00 ,170.00 ,167.00 ,169.50 ,671.00 
43489.00 ,171.00 ,174.00 ,170.00 ,171.00 ,1707.00 
43490.00 ,171.50 ,172.00 ,167.50 ,168.50 ,1126.00 
43493.00 ,169.50 ,170.00 ,167.50 ,168.50 ,695.00 
43494.00 ,169.50 ,171.00 ,168.00 ,170.50 ,1047.00 
43495.00 ,171.50 ,175.00 ,171.50 ,172.50 ,2373.00 
43507.00 ,176.00 ,189.50 ,175.00 ,189.50 ,4588.00 
43508.00 ,194.50 ,208.00 ,194.50 ,208.00 ,3807.00 
43509.00 ,218.00 ,226.00 ,210.50 ,221.00 ,7803.00 
43510.00 ,217.00 ,227.00 ,214.00 ,217.00 ,3442.00 
43511.00 ,225.00 ,231.00 ,220.50 ,221.00 ,4453.00 
43514.00 ,208.50 ,216.00 ,206.50 ,207.50 ,4542.00 
43515.00 ,210.00 ,213.00 ,206.00 ,209.00 ,2296.00 
43516.00 ,212.00 ,212.50 ,209.00 ,209.50 ,1408.00 
43517.00 ,212.00 ,222.00 ,210.50 ,215.50 ,3644.00 
43518.00 ,215.50 ,219.50 ,212.00 ,212.00 ,1897.00 
43521.00 ,213.50 ,214.00 ,207.00 ,209.50 ,1503.00 
43522.00 ,211.00 ,212.50 ,209.00 ,209.00 ,788.00 
43523.00 ,211.00 ,213.00 ,207.50 ,210.50 ,953.00 
43528.00 ,210.00 ,211.00 ,208.00 ,209.00 ,1106.00 
43529.00 ,209.00 ,211.50 ,207.50 ,210.50 ,820.00 
43530.00 ,215.00 ,221.50 ,213.00 ,213.50 ,4284.00 
43531.00 ,213.50 ,216.00 ,209.00 ,211.00 ,1270.00 
43532.00 ,212.00 ,217.00 ,209.50 ,217.00 ,1171.00 
43535.00 ,216.00 ,219.00 ,214.00 ,214.00 ,1287.00 
43536.00 ,216.00 ,216.00 ,213.00 ,214.00 ,939.00 
43537.00 ,217.00 ,221.50 ,216.00 ,216.50 ,2594.00 
43538.00 ,220.00 ,222.50 ,218.50 ,220.00 ,2031.00 
43539.00 ,221.50 ,242.00 ,221.50 ,237.50 ,6615.00 
43542.00 ,240.00 ,248.00 ,235.00 ,235.00 ,4649.00 
43543.00 ,236.50 ,245.50 ,232.00 ,244.50 ,2818.00 
43544.00 ,247.50 ,252.00 ,243.50 ,246.50 ,2374.00 
43545.00 ,248.00 ,249.00 ,243.50 ,245.00 ,1473.00 
43546.00 ,248.00 ,248.00 ,235.50 ,241.00 ,2024.00 
43549.00 ,236.50 ,245.00 ,235.50 ,239.00 ,1585.00 
43550.00 ,242.00 ,243.00 ,239.50 ,242.00 ,870.00 
43551.00 ,244.50 ,252.00 ,243.50 ,243.50 ,2551.00 
43552.00 ,242.50 ,244.50 ,240.00 ,240.00 ,994.00 
43553.00 ,242.00 ,242.50 ,238.00 ,238.50 ,864.00 
43556.00 ,241.00 ,242.00 ,238.00 ,238.50 ,718.00 
