年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股)
2007/07/02,   100.0900,100.1,99.04,100.1,434685
2007/07/03,   100.5600,101.3,100.53,100.53,676347
2007/07/04,   101.4400,102.08,101.05,101.96,674423
2007/07/05,   102.1600,103.26,101.99,103.26,819805
2007/07/06,   103.3700,103.64,102.47,103.64,810402
2007/07/09,   104.2900,106.19,104.29,106.19,956101
2007/07/10,   106.3800,106.5,104.75,106.07,1016746
2007/07/11,   105.4600,105.93,105.02,105.37,827809
2007/07/12,   105.7900,106.02,104.31,104.46,923468
2007/07/13,   106.1500,106.2,104.86,105.51,800623
2007/07/16,   105.4900,105.49,103.92,104.02,706937
2007/07/17,   104.3800,104.92,103.07,104.84,513539
2007/07/18,   104.4400,105.19,103.78,103.78,746820
2007/07/19,   103.4500,104.41,103.45,104.28,772465
2007/07/20,   104.8700,105.07,104.22,105.07,866215
2007/07/23,   104.5100,105.31,104.42,104.99,1090840
2007/07/24,   105.7400,106.94,105.41,106.94,1189106
2007/07/25,   105.8700,107.01,105.36,106.47,966467
2007/07/26,   107.3400,107.64,104.48,104.53,1264643
2007/07/27,   100.6100,101.79,99.31,99.31,1599190
2007/07/30,    98.2900,99.61,97.95,99.01,920258
2007/07/31,   100.2100,100.82,99.6,100.6,896247
2007/08/01,    99.6900,100.54,96.36,96.36,1069780
2007/08/02,    98.9300,98.93,95.92,98.71,898617
2007/08/03,   100.5100,100.78,98.59,99.26,691451
2007/08/06,    96.7700,97.96,96.77,97.14,503963
2007/08/07,    98.1100,98.39,95.19,95.19,575592
2007/08/08,    95.9400,97.97,95.44,97.97,541973
2007/08/09,    99.3700,99.5,98.37,98.93,664891
2007/08/10,    94.9800,96.48,94.98,95.59,639703
2007/08/13,    96.6500,96.86,94.96,95.13,498888
2007/08/14,    95.0300,95.47,93.42,94.01,488096
2007/08/15,    92.4800,92.59,90.44,90.9,578715
2007/08/16,    88.9100,89.5,87.16,87.74,750830
2007/08/17,    88.0900,88.89,85.86,87.11,750752
2007/08/20,    90.9100,91.25,90.14,91.12,539235
2007/08/21,    90.8500,91.34,88.68,89.58,500792
2007/08/22,    89.3800,89.56,88.58,89.52,381389
2007/08/23,    91.9700,92.68,91.75,92.64,595610
2007/08/24,    92.5500,92.68,91.6,91.6,599651
2007/08/27,    93.3400,93.34,91.32,91.41,442794
2007/08/28,    90.9200,91.68,90.68,91.66,430404
2007/08/29,    89.0500,90.14,89.05,90.14,434003
2007/08/30,    91.4900,91.74,90.73,91.06,453938
2007/08/31,    91.6600,93.1,91.39,93.1,505450
2007/09/03,    93.2600,93.34,92.28,92.67,424587
2007/09/04,    92.9300,93.43,92.24,92.43,452274
2007/09/05,    93.8400,94.2,92.9,92.99,465024
2007/09/06,    93.0700,94.34,92.25,94.34,422422
2007/09/07,    94.9700,95.19,93.9,94.37,518503
2007/09/10,    92.8700,93.72,92.4,93.53,315314
2007/09/11,    94.2900,94.55,93.37,93.73,409194
2007/09/12,    94.4000,94.47,93.52,93.74,524964
2007/09/13,    94.1400,94.14,92.53,92.56,429932
2007/09/14,    93.5000,94.07,93.03,93.9,394766
2007/09/17,    94.0500,94.22,91.54,91.65,353517
2007/09/19,    93.7900,93.79,90.68,90.98,767516
2007/09/20,    91.3500,92.38,90.21,90.51,483557
2007/09/21,    90.9500,92.14,90.76,92.1,439882
2007/09/26,    92.7100,93.51,92.33,93.16,436497
2007/09/27,    94.1300,96.26,94.0,96.26,550377
2007/09/28,    96.7000,96.87,95.97,96.08,479544
2007/09/29,    96.3900,96.61,95.94,96.57,347581
2007/10/01,    97.0300,97.46,96.16,96.16,440866
2007/10/02,    97.3500,98.24,97.35,98.05,563561
2007/10/03,    98.6200,98.9,97.74,98.35,523438
2007/10/04,    97.9300,98.12,97.14,97.45,452652
2007/10/05,    97.7500,97.97,96.55,96.62,502089
2007/10/08,    97.8400,97.91,96.06,96.43,433188
2007/10/09,    96.8200,96.82,95.16,96.55,386506
2007/10/11,    96.7800,96.78,95.37,95.37,402099
2007/10/12,    94.5100,94.51,92.49,92.58,355630
2007/10/15,    93.2300,93.57,92.06,93.57,295673
2007/10/16,    93.1100,95.31,92.99,95.08,418761
2007/10/17,    95.2100,95.95,94.33,95.27,388952
2007/10/18,    96.2700,97.33,96.01,97.21,579503
2007/10/19,    97.4400,97.44,96.05,96.05,478931
2007/10/22,    92.0800,93.7,92.08,93.23,419171
2007/10/23,    93.9900,95.3,93.99,94.91,367003
2007/10/24,    95.8600,96.64,93.61,93.61,432945
2007/10/25,    94.1900,95.03,94.07,94.81,386291
2007/10/26,    95.3300,95.42,94.55,95.29,419229
2007/10/29,    96.4100,97.01,96.0,96.85,412318
