年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股)
2016/01/27,    11.4800,11.48,11.48,11.48,0
2016/01/28,    11.4800,11.48,11.48,11.48,0
2016/01/29,    11.4800,11.48,11.48,11.48,0
2016/01/30,    11.4800,11.48,11.48,11.48,0
2016/02/01,    11.4800,11.48,11.48,11.48,0
2016/02/02,    11.4800,11.48,11.48,11.48,0
2016/02/03,    11.4800,11.48,11.48,11.48,0
2016/02/15,    11.4800,11.48,11.48,11.48,0
2016/02/16,    11.4800,11.48,11.48,11.48,0
2016/02/17,    11.4800,11.48,11.48,11.48,0
2016/02/18,    11.4800,11.48,11.48,11.48,0
2016/02/19,    11.4800,11.48,11.48,11.48,0
2016/02/22,    11.4800,11.48,11.48,11.48,0
2016/02/23,    11.4800,12.69,12.69,12.69,1
2016/02/24,    12.6900,12.69,12.69,12.69,0
2016/02/25,    12.6900,12.69,12.69,12.69,0
2016/02/26,    12.6900,12.69,12.69,12.69,0
2016/03/01,    12.6900,12.69,12.69,12.69,0
2016/03/02,    12.6900,12.69,12.69,12.69,0
2016/03/03,    12.6900,12.69,12.69,12.69,0
2016/03/04,    12.6900,12.69,12.69,12.69,0
2016/03/07,    12.6900,12.69,12.69,12.69,0
2016/03/08,    12.6900,12.69,12.69,12.69,0
2016/03/09,    12.6900,12.69,12.69,12.69,0
2016/03/10,    12.6900,12.69,12.69,12.69,0
2016/03/11,    12.6900,12.69,12.69,12.69,0
2016/03/14,    12.6900,12.69,12.69,12.69,0
2016/03/15,    12.6900,12.69,12.69,12.69,0
2016/03/16,    12.6900,12.69,12.69,12.69,0
2016/03/17,    12.6900,12.69,12.69,12.69,0
2016/03/18,    12.6900,12.69,12.69,12.69,0
2016/03/21,    12.6900,12.69,12.69,12.69,0
2016/03/22,    12.6900,12.69,12.69,12.69,0
2016/03/23,    12.6900,12.69,12.69,12.69,0
2016/03/24,    12.6900,12.69,12.69,12.69,0
2016/03/25,    12.6900,12.69,12.69,12.69,0
2016/03/28,    12.6900,12.69,12.69,12.69,0
2016/03/29,    12.6900,12.69,12.69,12.69,0
2016/03/30,    12.6900,12.69,12.69,12.69,0
2016/03/31,    12.6900,12.69,12.69,12.69,0
2016/04/01,    12.6900,12.69,12.69,12.69,0
2016/04/06,    12.6900,12.69,12.69,12.69,0
2016/04/07,    12.6900,12.69,12.69,12.69,0
2016/04/08,    12.6900,12.69,12.69,12.69,0
2016/04/11,    12.6900,12.69,12.69,12.69,0
2016/04/12,    12.6900,12.69,12.69,12.69,0
2016/04/13,    12.6900,12.69,12.69,12.69,0
2016/04/14,    12.6900,12.69,12.69,12.69,0
2016/04/15,    12.6900,12.69,12.69,12.69,0
2016/04/18,    12.6900,12.69,12.69,12.69,0
2016/04/19,    12.6900,12.69,12.69,12.69,0
2016/04/20,    12.6900,12.69,12.69,12.69,0
2016/04/21,    12.6900,12.69,12.69,12.69,0
2016/04/22,    12.6900,12.69,12.69,12.69,0
2016/04/25,    12.6900,12.69,12.69,12.69,0
2016/04/26,    12.6900,12.69,12.69,12.69,0
2016/04/27,    12.6900,12.69,12.69,12.69,0
2016/04/28,    12.6900,12.69,12.69,12.69,0
2016/04/29,    12.6900,12.69,12.69,12.69,0
2016/05/03,    12.6900,12.69,12.69,12.69,0
2016/05/04,    12.6900,12.69,12.69,12.69,0
2016/05/05,    12.6900,12.69,12.69,12.69,0
2016/05/06,    12.6900,12.69,12.69,12.69,0
2016/05/09,    12.6900,12.69,12.69,12.69,0
2016/05/10,    12.6900,12.69,12.69,12.69,0
2016/05/11,    12.6900,12.69,12.69,12.69,0
2016/05/12,    12.6900,12.69,12.69,12.69,0
2016/05/13,    12.6900,12.69,12.69,12.69,0
2016/05/16,    12.6900,12.69,12.69,12.69,0
2016/05/17,    12.6900,12.69,12.69,12.69,0
2016/05/18,    12.6900,12.69,12.69,12.69,0
2016/05/19,    12.6900,12.69,12.69,12.69,0
2016/05/20,    12.6900,12.69,12.69,12.69,0
2016/05/23,    12.6900,12.69,12.69,12.69,0
2016/05/24,    12.6900,12.69,12.69,12.69,0
2016/05/25,    12.6900,12.69,12.69,12.69,0
2016/05/26,    12.6900,12.69,12.69,12.69,0
2016/05/27,    12.6900,12.69,12.69,12.69,0
2016/05/30,    12.6900,12.69,12.69,12.69,0
2016/05/31,    12.6900,12.69,12.69,12.69,0
2016/06/01,    12.6900,12.69,12.69,12.69,0
2016/06/02,    12.6900,12.69,12.69,12.69,0
2016/06/03,    12.6900,12.69,12.69,12.69,0
2016/06/04,    12.6900,12.69,12.69,12.69,0
2016/06/06,    12.6900,12.69,12.69,12.69,0
2016/06/07,    12.6900,12.69,12.69,12.69,0
2016/06/08,    12.6900,12.69,12.69,12.69,0
2016/06/13,    12.6900,12.69,12.69,12.69,0
2016/06/14,    12.6900,12.69,12.69,12.69,0
2016/06/15,    12.6900,12.69,12.69,12.69,0
2016/06/16,    12.6900,12.69,12.69,12.69,0
2016/06/17,    12.6900,12.69,12.69,12.69,0
2016/06/20,    12.6900,12.69,12.69,12.69,0
2016/06/21,    12.6900,12.69,12.69,12.69,0
2016/06/22,    12.6900,12.69,12.69,12.69,0
2016/06/23,    12.6900,12.69,12.69,12.69,0
2016/06/24,    12.6900,12.69,12.69,12.69,0
2016/06/27,    12.6900,12.69,12.69,12.69,0
2016/06/28,    12.6900,12.69,12.69,12.69,0
2016/06/29,    12.6900,12.69,12.69,12.69,0
2016/06/30,    12.6900,12.69,12.69,12.69,0
2016/07/01,    12.6900,12.69,12.69,12.69,0
2016/07/04,    12.6900,12.69,12.69,12.69,0
2016/07/05,    12.6900,12.69,12.69,12.69,0
2016/07/06,    12.6900,12.69,12.69,12.69,0
2016/07/07,    12.6900,12.69,12.69,12.69,0
2016/07/11,    12.6900,12.69,12.69,12.69,0
2016/07/12,    12.6900,12.69,12.69,12.69,0
2016/07/13,    12.6900,12.69,12.69,12.69,0
2016/07/14,    12.6900,12.69,12.69,12.69,0
2016/07/15,    12.6900,12.69,12.69,12.69,0
2016/07/18,    12.6900,12.69,12.69,12.69,0
2016/07/19,    12.6900,12.69,12.69,12.69,0
2016/07/20,    12.6900,12.69,12.69,12.69,0
2016/07/21,    12.6900,12.69,12.69,12.69,0
2016/07/22,    12.6900,13.87,13.87,13.87,2
2016/07/25,    13.8700,13.87,13.87,13.87,0
2016/07/26,    13.8700,13.87,13.87,13.87,0
2016/07/27,    13.8700,13.67,13.67,13.67,2
2016/07/28,    13.6700,13.6,13.6,13.6,2
2016/07/29,    13.6000,13.6,13.6,13.6,0
2016/08/01,    13.6000,13.6,13.6,13.6,0
2016/08/02,    13.6000,13.6,13.6,13.6,0
2016/08/03,    13.6000,13.6,13.6,13.6,0
2016/08/04,    13.6000,13.6,13.6,13.6,0
2016/08/05,    13.6000,13.6,13.6,13.6,0
2016/08/08,    13.6000,13.6,13.6,13.6,0
2016/08/09,    13.6000,13.6,13.6,13.6,0
2016/08/10,    13.6000,13.6,13.48,13.48,5
2016/08/11,    13.4800,13.48,13.48,13.48,0
2016/08/12,    13.4800,13.48,13.48,13.48,0
2016/08/15,    13.4800,13.48,13.48,13.48,0
2016/08/16,    13.4800,13.48,13.48,13.48,0
2016/08/17,    13.4800,13.48,13.48,13.48,0
2016/08/18,    13.4800,13.48,13.48,13.48,0
2016/08/19,    13.4800,13.48,13.48,13.48,0
2016/08/22,    13.4800,13.48,13.48,13.48,0
2016/08/23,    13.4800,13.48,13.48,13.48,0
2016/08/24,    13.4800,13.48,13.48,13.48,0
2016/08/25,    13.4800,13.48,13.48,13.48,0
2016/08/26,    13.4800,13.48,13.48,13.48,0
2016/08/29,    13.4800,13.48,13.48,13.48,0
2016/08/30,    13.4800,13.48,13.48,13.48,0
2016/08/31,    13.4800,13.48,13.48,13.48,0
2016/09/01,    13.4800,13.48,13.48,13.48,0
2016/09/02,    13.4800,13.48,13.48,13.48,0
2016/09/05,    13.4800,13.48,13.48,13.48,0
2016/09/06,    13.4800,13.48,13.48,13.48,0
2016/09/07,    13.4800,13.48,13.48,13.48,0
2016/09/08,    13.4800,14.0,14.0,14.0,2
2016/09/09,    14.0000,14.0,14.0,14.0,0
2016/09/10,    14.0000,14.0,14.0,14.0,0
2016/09/12,    14.0000,14.0,14.0,14.0,0
2016/09/13,    14.0000,14.0,14.0,14.0,0
2016/09/14,    14.0000,14.0,14.0,14.0,0
2016/09/19,    14.0000,14.0,14.0,14.0,0
2016/09/20,    14.0000,14.0,14.0,14.0,0
2016/09/21,    14.0000,14.0,14.0,14.0,0
2016/09/22,    14.0000,14.0,14.0,14.0,0
2016/09/23,    14.0000,14.0,14.0,14.0,0
2016/09/26,    14.0000,14.0,14.0,14.0,0
2016/09/29,    14.0000,14.0,14.0,14.0,0
2016/09/30,    14.0000,14.0,14.0,14.0,0
2016/10/03,    14.0000,14.0,14.0,14.0,0
2016/10/04,    14.0000,14.0,14.0,14.0,0
2016/10/05,    14.0000,14.0,14.0,14.0,0
2016/10/06,    14.0000,14.0,14.0,14.0,0
2016/10/07,    14.0000,14.0,14.0,14.0,0
2016/10/11,    14.0000,14.0,14.0,14.0,0
2016/10/12,    14.0000,14.0,14.0,14.0,0
2016/10/13,    14.0000,14.0,14.0,14.0,0
2016/10/14,    14.0000,14.0,14.0,14.0,0
2016/10/17,    14.0000,14.0,14.0,14.0,0
2016/10/18,    14.0000,14.0,14.0,14.0,0
2016/10/19,    14.0000,14.0,14.0,14.0,0
2016/10/20,    14.0000,14.0,14.0,14.0,0
2016/10/21,    14.0000,14.0,14.0,14.0,0
2016/10/24,    14.0000,14.0,14.0,14.0,0
2016/10/25,    14.0000,14.0,14.0,14.0,0
2016/10/26,    14.0000,14.0,14.0,14.0,0
2016/10/27,    14.0000,14.0,14.0,14.0,0
2016/10/28,    14.0000,14.0,14.0,14.0,0
2016/10/31,    14.0000,14.0,14.0,14.0,0
2016/11/01,    14.0000,14.0,14.0,14.0,0
2016/11/02,    14.0000,14.0,14.0,14.0,0
2016/11/03,    14.0000,14.0,14.0,14.0,0
2016/11/04,    14.0000,14.0,14.0,14.0,0
2016/11/07,    14.0000,14.0,14.0,14.0,0
2016/11/08,    14.0000,14.0,14.0,14.0,0
2016/11/09,    14.0000,14.0,14.0,14.0,0
2016/11/10,    14.0000,14.0,14.0,14.0,0
2016/11/11,    14.0000,14.0,14.0,14.0,0
2016/11/14,    14.0000,14.0,14.0,14.0,0
2016/11/15,    14.0000,14.0,14.0,14.0,0
2016/11/16,    14.0000,14.0,14.0,14.0,0
2016/11/17,    14.0000,14.0,14.0,14.0,0
2016/11/18,    14.0000,14.0,14.0,14.0,0
2016/11/21,    14.0000,14.0,14.0,14.0,0
2016/11/22,    14.0000,14.0,14.0,14.0,0
2016/11/23,    14.0000,14.0,14.0,14.0,0
2016/11/24,    14.0000,14.0,14.0,14.0,0
2016/11/25,    14.0000,14.0,14.0,14.0,0
2016/11/28,    14.0000,14.0,14.0,14.0,0
2016/11/29,    14.0000,14.0,14.0,14.0,0
2016/11/30,    14.0000,14.0,14.0,14.0,0
2016/12/01,    14.0000,14.0,14.0,14.0,0
2016/12/02,    14.0000,14.0,14.0,14.0,0
2016/12/05,    14.0000,14.0,14.0,14.0,0
2016/12/06,    14.0000,14.0,14.0,14.0,0
2016/12/07,    14.0000,14.0,14.0,14.0,0
2016/12/08,    14.0000,14.0,14.0,14.0,0
2016/12/09,    14.0000,14.0,14.0,14.0,0
2016/12/12,    14.0000,14.0,14.0,14.0,0
2016/12/13,    14.0000,14.0,14.0,14.0,0
