Date,Open,High,Low,Close,Volume
1998/12/10,    23.5000,23.5,21.4,21.4,791
1998/12/11,    20.8000,21.3,20.2,21.2,232
1998/12/14,    21.2000,21.7,21.2,21.5,295
1998/12/15,    21.5000,21.5,21.0,21.5,117
1998/12/16,    21.2000,22.4,21.2,22.2,352
1998/12/17,    21.8000,22.0,21.5,21.9,121
1998/12/18,    21.8000,21.8,21.5,21.5,40
1998/12/19,    21.5000,21.6,21.0,21.3,101
1998/12/21,    21.3000,21.8,21.3,21.8,68
1998/12/22,    22.0000,22.2,21.2,21.6,70
1998/12/23,    21.9000,21.9,21.5,21.6,104
1998/12/24,    21.7000,22.0,21.6,22.0,188
1998/12/28,    22.0000,22.0,21.6,22.0,231
1998/12/29,    22.2000,22.4,22.0,22.4,152
1998/12/30,    22.4000,22.6,22.2,22.4,110
1998/12/31,    22.5000,22.6,22.3,22.6,94
1999/01/05,    22.4000,22.4,22.0,22.3,123
1999/01/06,    22.2000,22.5,22.1,22.5,78
1999/01/07,    22.5000,22.8,22.2,22.8,144
1999/01/08,    22.8000,22.8,22.5,22.6,67
1999/01/11,    22.6000,22.6,21.8,22.0,43
1999/01/12,    21.8000,22.0,21.6,22.0,41
1999/01/13,    21.8000,22.0,21.4,21.9,156
1999/01/14,    22.0000,22.0,21.6,22.0,82
1999/01/15,    21.8000,22.5,20.7,22.5,233
1999/01/16,    22.3000,22.3,21.5,22.3,34
1999/01/18,    22.3000,22.3,21.5,21.6,20
1999/01/19,    21.7000,21.8,21.5,21.5,9
1999/01/20,    21.5000,21.8,21.5,21.5,16
1999/01/21,    21.3000,21.4,21.1,21.4,30
1999/01/22,    21.4000,21.4,21.0,21.4,33
1999/01/25,    21.1000,21.1,20.0,20.8,72
1999/01/26,    20.7000,20.7,20.3,20.5,38
1999/01/27,    20.6000,20.6,20.4,20.6,25
1999/01/28,    20.6000,20.6,20.3,20.5,20
1999/01/29,    20.5000,20.5,20.3,20.4,22
1999/01/30,    20.3000,20.4,20.3,20.4,20
1999/02/01,    20.5000,20.5,20.3,20.4,12
1999/02/02,    20.5000,20.5,20.3,20.4,13
1999/02/03,    20.3000,20.3,20.0,20.3,23
