Date,Open,High,Low,Close,Volume
1996/10/28,   119.8000,119.8,119.8,119.8,10
1996/10/29,   128.1500,128.15,128.15,128.15,6
1996/10/30,   137.1000,137.1,137.1,137.1,65
1996/11/01,   132.3000,141.0,132.3,136.1,354
1996/11/02,   137.1000,141.0,137.0,140.5,352
1996/11/04,   141.0000,149.9,141.0,149.3,435
1996/11/05,   150.0000,152.1,149.1,149.2,190
1996/11/06,   148.0000,148.0,146.5,148.0,122
1996/11/07,   148.0000,150.6,148.0,150.0,272
1996/11/08,   149.9000,150.0,147.8,147.8,133
1996/11/09,   147.8000,147.8,145.4,145.6,109
1996/11/11,   146.0000,151.0,145.8,151.0,270
1996/11/13,   152.0000,152.8,151.0,152.0,222
1996/11/14,   153.1000,153.5,152.2,152.8,184
1996/11/15,   152.6000,152.6,151.3,151.3,131
1996/11/16,   151.0000,153.0,151.0,152.8,192
1996/11/18,   153.4000,155.0,153.1,154.7,104
1996/11/19,   155.0000,155.0,154.0,154.5,194
1996/11/20,   157.0000,159.2,157.0,159.05,164
1996/11/21,   160.0000,170.0,160.0,169.0,98
1996/11/22,   170.0000,170.0,168.0,169.7,126
1996/11/23,   171.9000,181.55,171.9,181.55,71
1996/11/25,   186.0000,187.05,180.7,181.5,134
1996/11/26,   181.5000,181.5,177.4,177.5,65
1996/11/27,   177.5000,180.0,176.9,176.9,90
1996/11/28,   176.5000,177.0,170.4,170.4,30
1996/11/29,   169.0000,169.0,166.0,166.0,7
1996/11/30,   165.1000,166.9,164.9,166.9,20
1996/12/02,   167.5000,169.3,167.5,169.0,40
1996/12/03,   170.0000,171.0,167.7,167.7,48
1996/12/04,   161.1000,163.4,161.1,163.4,34
1996/12/05,   163.4000,163.4,163.0,163.0,14
1996/12/06,   163.0000,164.0,163.0,163.5,18
1996/12/07,   161.1000,161.1,159.9,159.9,25
1996/12/09,   159.9000,159.9,156.3,156.4,4
1996/12/10,   156.4000,160.2,156.4,160.0,49
1996/12/11,   161.0500,161.05,161.0,161.0,3
1996/12/12,   160.9000,162.1,160.9,162.1,38
1996/12/13,   164.0000,168.0,164.0,167.5,16
1996/12/14,   171.0000,172.2,171.0,172.2,11
1996/12/16,   173.5000,174.4,173.5,174.4,34
1996/12/17,   173.8000,176.5,173.8,176.5,21
1996/12/18,   178.4000,178.7,178.4,178.6,30
1996/12/19,   170.9000,170.9,169.5,169.5,7
1996/12/20,   170.1000,170.1,169.8,170.0,9
1996/12/21,   170.1000,170.1,170.1,170.1,2
1996/12/23,   170.2000,170.2,170.2,170.2,2
1996/12/24,   170.0000,170.0,170.0,170.0,6
1996/12/26,   170.0000,170.0,170.0,170.0,0
1996/12/27,   170.0000,170.1,170.0,170.0,33
1996/12/28,   170.8500,171.5,170.85,171.2,19
1996/12/30,   173.6000,173.6,173.6,173.6,1
1996/12/31,   173.6000,173.6,173.6,173.6,1
1997/01/04,   173.6000,173.6,173.6,173.6,0
1997/01/06,   173.6000,173.6,173.6,173.6,0
1997/01/07,   174.0000,174.0,174.0,174.0,2
1997/01/08,   174.0000,174.0,174.0,174.0,2
1997/01/09,   176.1000,176.1,176.1,176.1,2
1997/01/10,   177.0000,178.5,177.0,178.5,15
1997/01/11,   178.0000,179.0,178.0,179.0,4
1997/01/13,   179.2000,185.2,179.2,185.2,25
1997/01/14,   186.0000,187.8,186.0,187.8,9
1997/01/15,   187.8000,187.8,187.5,187.5,17
1997/01/16,   187.0000,187.7,187.0,187.7,6
1997/01/17,   187.7000,187.7,187.7,187.7,0
1997/01/18,   187.0000,187.0,186.7,187.0,7
1997/01/20,   187.1000,188.0,187.1,188.0,2
1997/01/21,   188.0000,188.0,188.0,188.0,0
1997/01/22,   190.2000,192.0,190.2,192.0,4
1997/01/23,   194.0000,200.0,194.0,200.0,4
1997/01/24,   210.7000,210.9,210.7,210.9,6
1997/01/25,   210.9000,210.9,210.9,210.9,0
1997/01/27,   212.0000,212.0,212.0,212.0,6
1997/01/28,   212.0000,212.0,211.2,211.2,11
1997/01/29,   215.9000,216.6,215.9,216.1,5
1997/01/30,   216.1000,216.1,216.1,216.1,0
1997/01/31,   216.1000,216.1,216.1,216.1,0
1997/02/01,   216.1000,216.1,216.1,216.1,0
1997/02/03,   216.0000,216.0,216.0,216.0,1
1997/02/11,   217.6000,217.6,217.3,217.3,2
1997/02/12,   232.5000,232.5,232.5,232.5,2
1997/02/13,   240.0000,240.0,240.0,240.0,6
1997/02/14,   240.0000,240.0,240.0,240.0,0
1997/02/15,   240.0000,240.0,240.0,240.0,0
1997/02/17,   250.0000,250.0,250.0,250.0,3
1997/02/18,   250.0000,250.0,250.0,250.0,0
1997/02/19,   250.0000,250.0,250.0,250.0,0
1997/02/20,   250.0000,250.0,250.0,250.0,0
1997/02/21,   250.0000,250.0,250.0,250.0,0
1997/02/22,   250.0000,250.0,250.0,250.0,0
1997/02/24,   251.9000,253.2,251.9,253.2,50
1997/02/25,   270.9000,270.9,270.9,270.9,5
1997/02/26,   289.0000,289.0,287.95,287.95,17
1997/02/27,   287.9000,287.9,287.8,287.8,22
1997/02/28,   287.8000,287.8,287.8,287.8,0
1997/03/01,   287.8000,287.8,287.8,287.8,0
1997/03/03,   287.8000,287.8,287.8,287.8,3
1997/03/04,   287.8000,288.6,287.8,288.6,7
1997/03/05,   290.0000,290.0,290.0,290.0,2
1997/03/06,   298.9000,298.9,298.9,298.9,1
1997/03/07,   298.9000,298.9,298.9,298.9,0
1997/03/08,   298.9000,298.9,298.9,298.9,0
1997/03/10,   298.9000,298.9,298.9,298.9,0
1997/03/11,   298.9000,298.9,298.9,298.9,0
1997/03/12,   298.9000,298.9,298.9,298.9,0
1997/03/13,   298.9000,298.9,298.9,298.9,0
1997/03/14,   298.9000,298.9,298.9,298.9,0
1997/03/15,   298.9000,298.9,298.9,298.9,0
1997/03/17,   298.9000,298.9,298.9,298.9,0
1997/03/18,   298.9000,298.9,298.9,298.9,0
1997/03/19,   298.9000,298.9,298.9,298.9,0
1997/03/20,   298.9000,298.9,298.9,298.9,0
1997/03/21,   298.9000,298.9,298.9,298.9,0
1997/03/22,   298.9000,298.9,298.9,298.9,0
1997/03/24,   298.9000,298.9,298.9,298.9,0
1997/03/25,   298.9000,298.9,298.9,298.9,0
1997/03/26,   298.9000,298.9,298.9,298.9,0
1997/03/27,   298.9000,298.9,298.9,298.9,0
