Date,Open,High,Low,Close,Volume
2019/01/02,226.50,226.50,219.00,219.50,32900
2019/01/03,214.00,218.00,214.00,215.50,34616
2019/01/04,211.50,211.50,206.50,208.00,67044
2019/01/07,212.00,214.00,211.00,213.00,35695
2019/01/08,212.00,212.50,210.00,211.00,23794
2019/01/09,212.00,216.50,211.00,215.50,51255
2019/01/10,216.00,216.50,214.50,216.00,20833
2019/01/11,219.00,220.50,218.00,220.50,28658
2019/01/14,218.50,220.00,217.00,218.50,17612
2019/01/15,216.50,221.00,215.50,221.00,42991
2019/01/16,218.50,220.00,217.50,217.50,30038
2019/01/17,218.00,221.00,218.00,220.50,21164
2019/01/18,219.00,220.00,217.50,218.50,52678
2019/01/21,220.00,223.00,220.00,221.00,32516
2019/01/22,220.00,223.00,219.00,223.00,30958
2019/01/23,221.50,222.00,220.00,220.50,18671
2019/01/24,222.50,222.50,220.50,222.50,31349
2019/01/25,226.50,227.00,225.00,226.00,48040
2019/01/28,229.50,229.50,228.00,229.00,29134
2019/01/29,222.50,225.00,222.00,222.50,42567
2019/01/30,220.50,221.50,220.00,221.00,51890
2019/02/11,228.00,229.00,226.50,228.00,81360
2019/02/12,230.00,230.00,229.00,230.00,30126
2019/02/13,232.00,232.00,228.50,229.00,28635
2019/02/14,229.50,230.00,226.00,227.00,23648
2019/02/15,229.00,229.00,226.50,227.00,22370
2019/02/18,229.00,230.50,228.50,230.00,18164
2019/02/19,230.00,230.50,229.00,229.00,18423
2019/02/20,231.50,234.50,231.00,234.50,31888
2019/02/21,235.50,236.50,234.50,236.50,34013
2019/02/22,235.50,236.50,234.00,236.50,22032
2019/02/25,237.50,239.00,236.00,238.00,25227
2019/02/26,239.00,240.00,236.50,239.50,24587
2019/02/27,238.50,239.50,237.00,239.00,37948
2019/03/04,239.50,239.50,234.50,235.50,45165
2019/03/05,234.00,234.50,232.50,233.00,23708
2019/03/06,235.00,235.50,233.50,234.00,20811
2019/03/07,235.00,235.00,233.00,234.00,17226
2019/03/08,231.00,231.50,229.00,230.00,22536
2019/03/11,228.00,230.50,227.50,230.50,34283
2019/03/12,233.00,237.00,232.50,235.50,23840
2019/03/13,234.00,237.00,234.00,237.00,22493
2019/03/14,239.00,239.00,234.00,234.50,17281
2019/03/15,237.00,239.50,235.50,239.00,34543
2019/03/18,239.50,241.00,239.00,241.00,27041
2019/03/19,239.00,240.50,238.00,240.50,14620
2019/03/20,242.00,242.00,239.50,242.00,23056
2019/03/21,242.50,245.50,241.00,245.50,27515
2019/03/22,248.00,248.50,244.50,248.50,22996
2019/03/25,240.50,243.50,240.50,241.50,19273
2019/03/26,243.00,244.00,241.00,244.00,21053
2019/03/27,242.00,242.50,240.50,241.50,23622
2019/03/28,240.50,242.50,240.00,242.00,13998
2019/03/29,243.00,245.50,240.50,245.50,31025
