Date,Open,High,Low,Close,Volume
43467.00 ,324.00 ,324.50 ,314.00 ,314.00 ,9175.00 
43468.00 ,311.50 ,317.00 ,301.50 ,303.00 ,14718.00 
43469.00 ,296.00 ,296.00 ,287.00 ,289.50 ,23784.00 
43472.00 ,299.50 ,300.50 ,296.00 ,296.50 ,9951.00 
43473.00 ,298.00 ,298.00 ,293.50 ,294.00 ,6907.00 
43474.00 ,298.00 ,319.00 ,298.00 ,303.50 ,24982.00 
43475.00 ,307.50 ,310.00 ,302.50 ,304.50 ,15329.00 
43476.00 ,306.00 ,313.00 ,304.50 ,306.00 ,14790.00 
43479.00 ,308.00 ,309.50 ,303.00 ,307.00 ,7295.00 
43480.00 ,308.50 ,316.00 ,307.50 ,314.00 ,11358.00 
43481.00 ,316.50 ,320.50 ,315.00 ,317.50 ,9824.00 
43482.00 ,322.50 ,324.50 ,313.50 ,313.50 ,9627.00 
43483.00 ,318.00 ,319.00 ,314.00 ,318.50 ,7909.00 
43486.00 ,326.00 ,326.50 ,320.00 ,320.00 ,8468.00 
43487.00 ,320.00 ,321.00 ,315.00 ,316.50 ,5767.00 
43488.00 ,312.50 ,316.50 ,311.50 ,316.50 ,4711.00 
43489.00 ,317.50 ,319.50 ,315.00 ,315.00 ,3929.00 
43490.00 ,319.50 ,331.50 ,318.50 ,328.50 ,18891.00 
43493.00 ,333.00 ,339.50 ,326.50 ,328.00 ,13668.00 
43494.00 ,323.00 ,323.50 ,318.00 ,321.00 ,7686.00 
43495.00 ,324.50 ,326.00 ,321.50 ,321.50 ,7046.00 
43507.00 ,326.50 ,328.50 ,322.00 ,328.00 ,6276.00 
43508.00 ,334.50 ,352.00 ,334.00 ,352.00 ,24380.00 
43509.00 ,362.50 ,383.00 ,361.50 ,382.50 ,29619.00 
43510.00 ,384.00 ,385.50 ,373.50 ,375.50 ,16369.00 
43511.00 ,368.00 ,371.50 ,360.00 ,360.00 ,15462.00 
43514.00 ,368.00 ,373.50 ,366.00 ,371.50 ,10808.00 
