Date,Open,High,Low,Close,Volume
43467.00 ,47.30 ,47.65 ,46.65 ,46.80 ,272.00 
43468.00 ,47.20 ,47.50 ,45.20 ,45.35 ,403.00 
43469.00 ,44.75 ,44.75 ,43.05 ,43.65 ,643.00 
43472.00 ,45.05 ,46.10 ,44.50 ,45.60 ,555.00 
43473.00 ,45.60 ,47.00 ,45.00 ,45.70 ,445.00 
43474.00 ,46.00 ,50.20 ,46.00 ,50.20 ,2843.00 
43475.00 ,51.20 ,51.60 ,49.05 ,50.20 ,2452.00 
43476.00 ,51.20 ,51.60 ,49.05 ,49.55 ,837.00 
43479.00 ,49.30 ,49.90 ,47.20 ,47.55 ,817.00 
43480.00 ,48.20 ,49.45 ,48.10 ,48.30 ,718.00 
43481.00 ,49.20 ,49.60 ,48.35 ,48.50 ,642.00 
43482.00 ,48.75 ,49.10 ,48.05 ,48.90 ,455.00 
43483.00 ,49.00 ,52.60 ,49.00 ,51.10 ,4102.00 
43486.00 ,51.50 ,52.20 ,50.30 ,50.90 ,2137.00 
43487.00 ,52.40 ,55.00 ,52.20 ,52.20 ,9013.00 
43488.00 ,53.40 ,55.20 ,53.00 ,55.20 ,6656.00 
43489.00 ,54.70 ,56.50 ,54.20 ,54.40 ,4587.00 
43490.00 ,55.10 ,55.50 ,53.50 ,54.50 ,1714.00 
43493.00 ,55.00 ,56.10 ,52.80 ,52.80 ,2094.00 
43494.00 ,52.10 ,52.60 ,51.20 ,51.20 ,1215.00 
43495.00 ,51.50 ,51.80 ,50.30 ,50.70 ,868.00 
43507.00 ,51.40 ,51.70 ,50.60 ,50.90 ,583.00 
43508.00 ,51.20 ,53.50 ,51.10 ,52.50 ,1430.00 
43509.00 ,51.50 ,51.70 ,50.60 ,50.80 ,1353.00 
43510.00 ,51.00 ,52.20 ,50.80 ,50.90 ,875.00 
43511.00 ,51.00 ,51.40 ,49.80 ,50.10 ,770.00 
43514.00 ,50.50 ,51.00 ,50.20 ,50.50 ,503.00 
43515.00 ,51.00 ,52.60 ,51.00 ,51.20 ,1455.00 
43516.00 ,51.50 ,53.00 ,51.50 ,53.00 ,1443.00 
43517.00 ,53.70 ,54.20 ,52.00 ,52.10 ,1561.00 
43518.00 ,52.50 ,52.50 ,51.60 ,52.30 ,517.00 
43521.00 ,53.00 ,53.50 ,52.60 ,53.00 ,1108.00 
43522.00 ,53.90 ,54.80 ,52.20 ,52.20 ,1738.00 
