Date,Open,High,Low,Close,Volume
2021/01/04,42.35,44.75,42.15,44.75,513948
2021/01/05,45.00,45.50,43.15,45.50,534171
2021/01/06,44.75,46.20,42.25,42.55,564485
2021/01/07,43.30,43.80,38.30,38.45,776226
2021/01/08,38.50,40.75,37.20,40.30,548832
2021/01/11,41.50,42.80,40.60,42.65,408351
2021/01/12,42.75,42.75,38.50,38.55,564321
2021/01/13,37.90,39.15,37.10,37.45,474532
2021/01/14,37.75,39.50,37.70,38.05,354498
2021/01/15,38.00,38.00,34.25,34.25,571259
2021/01/18,33.00,34.70,31.25,34.00,583017
2021/01/19,35.95,36.30,31.80,32.00,488268
2021/01/20,32.30,32.40,30.00,30.45,437888
2021/01/21,31.55,33.40,31.15,32.10,430729
2021/01/22,32.45,35.25,31.50,35.00,436603
2021/01/25,35.80,36.80,35.10,35.35,402588
2021/01/26,35.10,35.60,33.10,33.65,306173
2021/01/27,33.90,34.15,32.05,32.45,244372
2021/01/28,31.60,33.60,31.20,33.20,257021
2021/01/29,33.45,33.55,30.85,31.20,268689
2021/02/01,31.00,32.00,30.20,31.20,219662
2021/02/02,31.60,34.30,31.40,34.10,360507
2021/02/03,34.15,35.20,33.15,33.55,397759
2021/02/04,33.55,34.25,33.25,33.95,188549
2021/02/05,34.25,34.45,33.50,33.70,143527
2021/02/17,35.10,36.90,34.20,36.70,311631
2021/02/18,37.00,38.90,36.90,37.45,443618
2021/02/19,37.75,38.05,36.25,36.85,218707
2021/02/22,39.20,39.65,38.50,39.40,411542
2021/02/23,39.40,40.10,38.35,38.35,302018
2021/02/24,38.60,38.95,36.75,36.75,249065
2021/02/25,37.80,38.10,37.10,37.65,141295
2021/02/26,37.00,38.35,36.35,37.95,216326
2021/03/02,38.55,39.45,35.70,36.50,280462
2021/03/03,37.30,38.10,36.30,38.05,156183
2021/03/04,37.50,38.00,36.90,37.30,112073
2021/03/05,36.90,37.95,36.70,37.30,117113
2021/03/08,37.95,38.50,37.15,37.35,147291
2021/03/09,37.50,38.40,36.75,38.40,147976
2021/03/10,38.45,38.85,37.80,38.05,161741
2021/03/11,39.45,39.50,38.15,38.15,224603
2021/03/12,38.70,39.45,38.40,38.80,201520
2021/03/15,39.35,40.00,39.05,40.00,245293
2021/03/16,40.10,40.20,39.30,39.60,172551
2021/03/17,39.85,40.50,39.60,40.10,156756
2021/03/18,40.70,41.65,40.30,41.65,212641
2021/03/19,41.15,42.75,41.10,41.70,275843
2021/03/22,44.00,45.85,43.70,45.85,401100
2021/03/23,46.90,47.60,42.20,42.75,589753
2021/03/24,42.00,44.05,41.50,43.70,288793
2021/03/25,43.35,43.40,41.60,41.70,293845
2021/03/26,42.00,43.70,41.90,43.05,191117
2021/03/29,43.00,44.85,42.60,43.80,222867
2021/03/30,44.50,44.95,43.25,43.80,144582
2021/03/31,44.20,46.80,44.00,45.50,338821
2021/04/01,47.00,48.10,46.55,47.90,339642
2021/04/06,48.10,49.90,46.05,49.50,498445
2021/04/07,49.15,51.70,48.30,50.50,357957
2021/04/08,50.70,52.70,50.10,52.30,275633
2021/04/09,52.50,52.70,49.00,50.00,388104
2021/04/12,52.90,55.00,52.10,55.00,350198
2021/04/13,55.30,59.00,54.00,56.90,428171
2021/04/14,58.60,60.40,54.20,59.90,629635
2021/04/15,59.00,60.40,58.20,59.00,284633
2021/04/16,59.90,64.30,58.80,63.30,331929
2021/04/19,65.00,69.50,64.70,68.00,434130
2021/04/20,69.00,69.30,66.00,69.00,335489
2021/04/21,69.50,75.90,68.20,75.90,435783
2021/04/22,78.90,83.00,71.90,72.90,767031
2021/04/23,74.50,76.20,67.50,69.90,580691
2021/04/26,71.80,76.80,71.20,76.80,393008
2021/04/27,78.50,80.90,76.50,77.50,585923
2021/04/28,79.10,80.40,75.90,76.80,367154
2021/04/29,77.80,79.00,74.60,79.00,325427
2021/05/03,84.00,86.90,81.60,86.60,552287
2021/05/04,86.60,89.10,78.00,78.00,678919
2021/05/05,77.00,82.40,74.40,79.90,483150
2021/05/06,84.00,85.50,78.80,81.10,437575
2021/05/07,84.00,85.00,80.50,85.00,352245
2021/05/10,88.50,93.50,87.30,93.50,439838
2021/05/11,91.60,100.00,89.10,95.60,828794
2021/05/12,93.50,95.50,86.10,86.10,441548
2021/05/13,77.50,85.00,77.50,77.50,501817
2021/05/14,78.50,79.90,69.80,70.10,627472
2021/05/17,65.00,70.00,63.10,63.10,513416
2021/05/18,67.80,69.40,65.20,69.40,264092
2021/05/19,72.40,76.30,72.10,76.30,425369
2021/05/20,76.30,82.20,75.00,77.00,785538
2021/05/21,81.00,84.70,80.10,84.70,592334
2021/05/24,85.30,91.40,83.30,86.40,710049
2021/05/25,89.50,90.50,78.00,82.40,650675
2021/05/26,83.40,87.00,79.50,85.60,585123
2021/05/27,86.80,89.80,85.60,87.70,575707
2021/05/28,89.50,96.40,87.70,96.40,694446
2021/05/31,99.50,105.50,96.60,98.60,670727
2021/06/01,101.50,108.00,98.20,108.00,542548
2021/06/02,110.00,115.50,108.50,110.50,696151
2021/06/03,114.00,121.00,112.50,119.00,561493
2021/06/04,119.00,121.50,116.00,116.50,440989
2021/06/07,119.00,120.50,105.00,110.50,669467
2021/06/08,110.50,116.00,110.50,115.50,330481
2021/06/09,120.00,120.50,114.00,116.00,477005
2021/06/10,117.50,118.50,108.00,113.50,459723
2021/06/11,115.50,124.00,114.00,124.00,557814
2021/06/15,127.00,136.00,125.50,136.00,568453
2021/06/16,138.00,147.50,132.00,133.50,1016328
2021/06/17,133.50,136.50,127.00,136.50,495359
2021/06/18,133.50,142.50,133.00,140.00,148829
2021/06/21,139.00,153.50,139.00,152.00,151591
2021/06/22,158.50,160.00,149.00,153.50,146872
2021/06/23,148.00,150.50,138.50,138.50,174224
2021/06/24,136.50,152.00,136.00,152.00,135489
2021/06/25,157.00,160.00,151.00,160.00,135737
