Date,Open,High,Low,Close,Volume
2020/07/01,315.00,318.00,314.00,317.50,29685
2020/07/02,319.00,322.00,318.00,322.00,37789
2020/07/03,327.00,330.50,326.50,329.50,55657
2020/07/06,332.50,338.00,332.00,338.00,57256
2020/07/07,343.50,346.00,338.00,338.50,59046
2020/07/08,337.50,342.50,337.50,341.00,33813
2020/07/09,346.00,347.00,343.00,345.00,37410
2020/07/10,352.50,353.00,345.50,348.50,60902
2020/07/13,351.00,354.50,350.50,354.50,49460
2020/07/14,355.00,364.00,354.50,363.50,63030
2020/07/15,366.00,370.00,361.00,363.00,75105
2020/07/16,359.00,361.00,353.50,357.50,68583
2020/07/17,361.00,369.00,360.00,367.00,66403
2020/07/20,370.00,370.00,362.50,366.00,44940
2020/07/21,372.50,387.00,371.50,383.00,64440
2020/07/22,381.00,386.00,379.00,384.00,43960
2020/07/23,382.00,383.00,379.00,381.50,45397
2020/07/24,390.00,395.00,382.00,386.00,90989
2020/07/27,420.50,424.50,416.50,424.50,103316
2020/07/28,464.00,466.50,428.50,435.00,172158
2020/07/29,428.00,431.50,419.50,422.00,88641
2020/07/30,436.50,441.00,428.50,434.00,69937
2020/07/31,426.00,432.00,425.50,425.50,50485
2020/08/03,420.50,424.00,415.00,416.00,77289
2020/08/04,421.50,425.50,418.50,425.50,41697
2020/08/05,430.50,433.50,426.00,429.00,47461
2020/08/06,437.50,438.00,431.00,435.00,43444
2020/08/07,433.50,434.00,428.00,433.00,37611
2020/08/10,427.50,437.50,427.50,435.50,36068
2020/08/11,432.00,435.00,429.00,429.00,34545
2020/08/12,422.00,423.50,419.00,419.00,53980
2020/08/13,428.00,429.00,424.50,429.00,45669
2020/08/14,424.00,428.00,423.00,427.00,24260
2020/08/17,427.00,435.00,425.50,435.00,34608
2020/08/18,440.00,440.50,432.00,433.00,45504
2020/08/19,436.00,436.50,427.50,427.50,31487
2020/08/20,427.00,427.50,401.00,415.00,75155
2020/08/21,421.50,427.00,420.00,424.50,41956
2020/08/24,427.50,434.50,425.00,428.00,49199
2020/08/25,433.50,436.00,430.50,434.50,37025
2020/08/26,435.50,442.00,435.00,442.00,41406
2020/08/27,448.00,453.50,444.00,444.00,57207
2020/08/28,440.00,440.50,431.00,435.00,57039
2020/08/31,437.00,439.50,426.50,426.50,88570
