年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股)
2003/06/30,    37.1000,37.4,36.92,37.08,9930
2003/07/01,    37.0900,38.1,37.09,38.05,14290
2003/07/02,    38.1700,38.82,38.1,38.69,16232
2003/07/03,    40.6000,40.6,38.81,39.0,16839
2003/07/04,    39.1000,39.26,38.75,39.26,12491
2003/07/07,    39.6000,41.0,39.6,41.0,19461
2003/07/08,    42.0000,42.0,40.7,41.19,13945
2003/07/09,    41.3000,41.3,40.81,41.22,8849
2003/07/10,    41.2000,41.2,40.05,40.05,8603
2003/07/11,    39.6000,39.97,39.3,39.91,7019
2003/07/14,    39.9500,41.0,39.92,40.66,10771
2003/07/15,    40.7000,40.86,40.19,40.19,9432
2003/07/16,    40.5000,40.98,40.24,40.85,6798
2003/07/17,    40.5000,40.65,39.8,39.8,9924
2003/07/18,    39.7800,39.98,39.55,39.92,7220
2003/07/21,    40.0000,40.25,39.4,39.4,6715
2003/07/22,    39.4100,39.98,39.41,39.98,9169
2003/07/23,    40.3000,40.5,40.0,40.05,8148
2003/07/24,    40.2000,41.23,40.2,41.23,10984
2003/07/25,    41.0000,41.34,40.85,41.23,8433
2003/07/28,    41.9000,41.94,41.57,41.58,6839
2003/07/29,    41.5400,41.54,40.83,41.02,5680
2003/07/30,    41.0000,41.02,40.55,40.6,9300
2003/07/31,    40.6600,41.0,40.44,40.87,5120
2003/08/01,    41.2800,41.6,41.05,41.6,3703
2003/08/04,    41.4700,41.55,41.21,41.4,3708
2003/08/05,    41.5000,41.61,40.5,40.5,4929
2003/08/06,    40.2000,40.3,40.06,40.23,4646
2003/08/07,    40.3500,40.77,39.97,40.7,5574
2003/08/08,    40.7000,40.7,40.18,40.18,4009
2003/08/11,    39.9000,40.18,39.68,40.1,2619
2003/08/12,    40.3400,40.65,40.34,40.55,4255
2003/08/13,    41.0000,42.45,41.0,42.45,12452
2003/08/14,    42.2900,42.55,42.0,42.3,11489
2003/08/15,    42.6600,43.5,42.66,42.72,8705
2003/08/18,    43.0000,43.1,42.52,42.8,4295
2003/08/19,    43.5000,43.6,42.8,43.0,6286
2003/08/20,    42.8000,43.28,42.8,43.19,4201
2003/08/21,    43.1900,44.0,42.8,44.0,3518
2003/08/22,    44.0000,44.59,43.95,44.04,6243
2003/08/25,    44.1000,44.39,43.79,44.35,4937
2003/08/26,    44.2500,44.25,43.4,43.46,8544
2003/08/27,    43.2800,43.97,43.28,43.62,6352
2003/08/28,    43.6300,43.95,43.49,43.56,4754
2003/08/29,    43.6000,44.92,43.6,44.92,7666
