Date,Open,High,Low,Close,Volume
2020/01/02,12.60,12.80,12.60,12.70,14958
2020/01/03,12.80,13.05,12.75,13.00,33188
2020/01/06,13.00,13.20,12.90,13.00,26074
2020/01/07,13.00,13.05,12.85,12.90,13881
2020/01/08,12.75,12.75,12.60,12.60,14259
2020/01/09,12.75,12.95,12.70,12.85,14526
2020/01/10,12.90,13.20,12.90,13.15,32299
2020/01/13,13.15,13.20,13.05,13.15,9097
2020/01/14,13.15,13.35,13.15,13.20,15522
2020/01/15,13.20,13.30,13.00,13.15,13302
2020/01/16,13.15,13.15,13.00,13.00,9247
2020/01/17,13.10,13.10,12.90,13.00,7392
2020/01/20,13.00,13.15,12.90,12.95,13089
2020/01/30,12.40,12.40,11.70,11.80,38438
2020/01/31,11.80,11.95,11.60,11.75,21128
2020/02/03,11.30,11.55,11.10,11.45,16319
2020/02/04,11.40,11.65,11.35,11.60,14655
2020/02/05,11.65,11.85,11.60,11.70,13838
2020/02/06,11.75,11.95,11.75,11.95,9408
2020/02/07,11.80,11.85,11.65,11.65,10825
2020/02/10,11.50,11.60,11.35,11.50,9679
2020/02/11,11.60,11.70,11.60,11.65,5065
2020/02/12,11.75,11.90,11.70,11.80,10309
2020/02/13,11.90,11.95,11.80,11.90,10738
2020/02/14,11.85,11.85,11.65,11.75,5974
2020/02/17,11.60,11.65,11.50,11.55,14609
2020/02/18,11.50,11.85,11.50,11.80,11488
2020/02/19,11.85,12.05,11.80,11.95,17522
2020/02/20,12.05,12.10,11.75,11.85,9892
2020/02/21,11.80,11.90,11.70,11.75,6359
2020/02/24,11.70,11.75,11.55,11.55,10228
2020/02/25,11.50,11.80,11.45,11.70,7970
2020/02/26,11.55,11.70,11.55,11.60,6680
2020/02/27,11.60,11.70,11.50,11.55,14807
2020/03/02,11.40,11.55,11.35,11.40,11371
2020/03/03,11.55,11.65,11.40,11.40,10575
2020/03/04,11.45,11.60,11.40,11.55,17465
2020/03/05,11.60,11.95,11.55,11.85,26127
2020/03/06,11.70,11.85,11.60,11.70,10989
2020/03/09,11.60,11.60,11.30,11.40,24955
2020/03/10,11.35,11.85,11.30,11.70,30017
2020/03/11,11.70,11.80,11.50,11.55,13354
2020/03/12,11.50,11.55,11.10,11.10,28716
2020/03/13,10.15,10.60,10.10,10.45,31335
2020/03/16,10.50,10.50,9.86,9.86,29131
2020/03/17,9.41,9.70,9.32,9.42,29175
2020/03/18,9.46,9.98,9.38,9.50,22510
2020/03/19,9.45,9.45,8.90,9.20,27928
2020/03/20,9.40,9.72,9.40,9.60,18258
2020/03/23,9.20,9.35,8.97,9.24,13930
2020/03/24,9.51,9.72,9.30,9.44,15228
2020/03/25,9.58,9.91,9.58,9.68,18416
2020/03/26,9.82,9.85,9.55,9.67,10333
2020/03/27,9.77,9.79,9.40,9.40,20127
2020/03/30,9.20,9.24,9.01,9.23,13666
2020/03/31,9.34,9.44,9.12,9.25,13598
2020/04/01,9.19,9.19,9.10,9.10,10702
2020/04/06,9.15,9.16,8.97,9.11,12875
2020/04/07,9.24,9.35,9.17,9.26,14454
2020/04/08,9.26,9.69,9.23,9.66,16925
2020/04/09,9.72,10.30,9.72,10.25,33924
2020/04/10,10.35,10.35,10.05,10.20,14151
2020/04/13,10.25,10.25,10.00,10.05,11668
2020/04/14,10.15,10.30,10.10,10.15,14006
2020/04/15,10.35,10.80,10.30,10.35,32565
2020/04/16,10.30,10.35,10.15,10.30,16207
2020/04/17,10.50,10.60,10.20,10.25,17817
2020/04/20,10.25,10.25,10.05,10.10,23476
2020/04/21,10.10,10.25,9.83,9.88,25694
2020/04/22,9.80,9.92,9.61,9.88,8692
2020/04/23,9.93,10.15,9.93,10.05,9361
2020/04/24,10.05,10.10,9.91,9.94,7236
2020/04/27,10.10,10.25,10.05,10.20,10721
2020/04/28,10.35,10.60,10.25,10.55,21249
2020/04/29,10.65,10.85,10.60,10.70,33435
2020/04/30,11.00,11.15,10.75,11.10,43076
2020/05/04,10.75,10.85,10.60,10.75,15989
2020/05/05,10.75,10.80,10.50,10.65,13792
2020/05/06,10.65,10.65,10.45,10.55,9322
2020/05/07,10.60,10.70,10.55,10.60,5879
2020/05/08,10.70,10.75,10.50,10.55,9098
2020/05/11,10.70,10.90,10.65,10.75,10947
2020/05/12,10.65,10.70,10.50,10.50,11107
2020/05/13,10.50,10.60,10.45,10.60,7023
2020/05/14,10.55,10.55,10.35,10.35,12178
2020/05/15,10.45,10.50,10.35,10.45,7722
2020/05/18,10.45,10.70,10.45,10.70,12938
2020/05/19,10.95,11.00,10.70,10.70,16722
2020/05/20,10.80,10.85,10.70,10.75,16831
2020/05/21,11.00,11.15,10.90,11.00,50541
2020/05/22,10.95,11.05,10.75,10.75,13613
2020/05/25,10.80,10.85,10.65,10.75,6768
2020/05/26,10.90,10.95,10.85,10.95,8629
2020/05/27,11.00,11.05,10.80,10.85,12073
2020/05/28,10.90,11.20,10.85,10.90,28331
2020/05/29,10.90,11.05,10.75,10.90,24278
2020/06/01,11.05,11.35,11.00,11.20,24207
2020/06/02,11.25,11.35,11.10,11.25,13348
2020/06/03,11.30,11.35,11.20,11.30,13755
2020/06/04,11.35,11.40,11.20,11.25,15922
2020/06/05,11.25,11.65,11.20,11.40,30561
2020/06/08,11.55,11.60,11.35,11.35,20190
2020/06/09,11.40,11.45,11.25,11.30,16461
2020/06/10,11.30,11.35,11.25,11.25,17322
2020/06/11,11.25,11.30,10.90,10.95,22489
2020/06/12,10.60,10.90,10.50,10.85,15865
2020/06/15,10.85,10.90,10.75,10.75,12619
2020/06/16,10.95,11.25,10.85,11.25,16084
2020/06/17,11.35,11.35,11.10,11.25,11679
2020/06/18,11.25,11.25,10.90,11.00,16631
2020/06/19,11.00,11.05,10.75,10.80,26100
2020/06/22,10.80,10.95,10.70,10.75,13803
2020/06/23,10.85,10.90,10.65,10.75,15189
2020/06/24,10.85,10.90,10.70,10.75,10824
2020/06/29,10.70,10.90,10.70,10.75,8997
2020/06/30,10.90,10.90,10.75,10.75,8542
2020/07/01,10.75,10.90,10.75,10.85,4271
2020/07/02,10.85,11.00,10.80,10.80,8810
2020/07/03,11.00,11.20,10.95,11.15,30237
2020/07/06,11.20,11.25,11.00,11.15,27823
2020/07/07,11.20,11.25,11.00,11.25,25393
2020/07/08,11.25,11.35,11.05,11.15,20551
2020/07/09,11.15,11.20,11.00,11.05,12426
2020/07/10,11.05,11.05,10.75,10.75,17662
2020/07/13,10.85,10.90,10.75,10.80,13651
2020/07/14,10.85,10.85,10.65,10.70,11591
2020/07/15,10.85,10.90,10.75,10.85,15157
2020/07/16,10.95,11.10,10.85,11.05,14916
2020/07/17,11.10,11.15,10.85,10.85,8926
2020/07/20,10.90,10.95,10.80,10.80,8109
2020/07/21,10.80,11.00,10.80,10.95,8553
2020/07/22,10.95,11.05,10.85,10.95,10376
2020/07/23,10.95,11.00,10.80,10.85,8914
2020/07/24,10.85,10.90,10.65,10.70,13615
2020/07/27,11.00,11.00,10.80,10.80,13682
2020/07/28,10.85,10.90,10.70,10.70,10732
2020/07/29,10.70,11.00,10.70,10.95,14138
2020/07/30,11.00,11.10,10.95,11.05,12502
2020/07/31,11.10,11.25,11.00,11.00,19480
2020/08/03,11.10,11.20,10.95,11.05,11691
2020/08/04,11.10,11.15,11.05,11.10,8831
2020/08/05,11.15,11.15,11.05,11.05,5229
2020/08/06,11.15,11.30,11.05,11.15,16030
2020/08/07,11.20,11.50,11.20,11.40,34192
2020/08/10,11.50,12.50,11.50,12.50,78394
2020/08/11,12.50,12.85,12.35,12.45,95874
2020/08/12,12.50,12.50,11.85,12.20,41032
2020/08/13,12.40,12.70,12.20,12.35,38096
2020/08/14,13.20,13.55,12.85,13.55,171266
2020/08/17,14.00,14.90,13.85,14.90,179855
2020/08/18,15.25,15.40,14.65,15.20,183858
2020/08/19,15.50,15.85,15.15,15.40,148861
2020/08/20,15.55,15.90,14.40,15.00,213451
2020/08/21,15.40,15.60,15.05,15.20,113792
2020/08/24,15.35,15.40,14.95,15.20,73954
2020/08/25,15.55,16.50,15.50,16.30,269324
2020/08/26,16.45,16.75,16.05,16.45,161929
2020/08/27,16.60,16.65,16.15,16.25,84575
2020/08/28,16.25,16.70,16.15,16.35,83824
2020/08/31,16.95,17.70,16.90,17.40,211799
2020/09/01,17.35,17.55,16.80,17.20,124673
2020/09/02,17.30,17.60,17.10,17.60,83890
2020/09/03,17.65,18.20,17.45,18.20,128903
2020/09/04,17.70,18.85,17.70,18.80,109317
2020/09/07,19.20,19.90,18.75,18.80,209709
2020/09/08,18.75,19.05,18.25,18.70,127557
