Date, Open, High, Low, Close, Volume
43467.00 ,226.50 ,226.50 ,219.00 ,219.50 ,32900.00 
43468.00 ,214.00 ,218.00 ,214.00 ,215.50 ,34615.00 
43469.00 ,211.50 ,211.50 ,206.50 ,208.00 ,67043.00 
43472.00 ,212.00 ,214.00 ,211.00 ,213.00 ,35695.00 
43473.00 ,212.00 ,212.50 ,210.00 ,211.00 ,23794.00 
43474.00 ,212.00 ,216.50 ,211.00 ,215.50 ,51255.00 
43475.00 ,216.00 ,216.50 ,214.50 ,216.00 ,20832.00 
43476.00 ,219.00 ,220.50 ,218.00 ,220.50 ,28658.00 
43479.00 ,218.50 ,220.00 ,217.00 ,218.50 ,17612.00 
43480.00 ,216.50 ,221.00 ,215.50 ,221.00 ,42990.00 
43481.00 ,218.50 ,220.00 ,217.50 ,217.50 ,30038.00 
43482.00 ,218.00 ,221.00 ,218.00 ,220.50 ,21163.00 
43483.00 ,219.00 ,220.00 ,217.50 ,218.50 ,52677.00 
43486.00 ,220.00 ,223.00 ,220.00 ,221.00 ,32515.00 
43487.00 ,220.00 ,223.00 ,219.00 ,223.00 ,30958.00 
43488.00 ,221.50 ,222.00 ,220.00 ,220.50 ,18671.00 
43489.00 ,222.50 ,222.50 ,220.50 ,222.50 ,31348.00 
43490.00 ,226.50 ,227.00 ,225.00 ,226.00 ,48039.00 
43493.00 ,229.50 ,229.50 ,228.00 ,229.00 ,29134.00 
43494.00 ,222.50 ,225.00 ,222.00 ,222.50 ,42566.00 
43495.00 ,220.50 ,221.50 ,220.00 ,221.00 ,51889.00 
43507.00 ,228.00 ,229.00 ,226.50 ,228.00 ,81360.00 
43508.00 ,230.00 ,230.00 ,229.00 ,230.00 ,30125.00 
43509.00 ,232.00 ,232.00 ,228.50 ,229.00 ,28634.00 
43510.00 ,229.50 ,230.00 ,226.00 ,227.00 ,23647.00 
43511.00 ,229.00 ,229.00 ,226.50 ,227.00 ,22369.00 
43514.00 ,229.00 ,230.50 ,228.50 ,230.00 ,18163.00 
43515.00 ,230.00 ,230.50 ,229.00 ,229.00 ,18423.00 
43516.00 ,231.50 ,234.50 ,231.00 ,234.50 ,31887.00 
43517.00 ,235.50 ,236.50 ,234.50 ,236.50 ,34013.00 
